序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,蘇志強,107年直轄市議員選舉,首次申報,1070813,交通旅運支出,統一精工,99453882,0.00,1000.00,油資,金錢,,,
2,蘇志強,107年直轄市議員選舉,首次申報,1070821,交通旅運支出,旺位加油站,16940937,0.00,450.00,油資,金錢,,,
3,蘇志強,107年直轄市議員選舉,首次申報,1070824,交通旅運支出,蘇澳交流道加油站,28777349,0.00,1000.00,油資,金錢,,,
4,蘇志強,107年直轄市議員選舉,首次申報,1070828,交通旅運支出,台亞石門水庫加油站,14673479,0.00,1000.00,油資,金錢,,,
5,蘇志強,107年直轄市議員選舉,首次申報,1070831,交通旅運支出,九如龍岡加油站,16256528,0.00,1000.00,油資,金錢,,,
6,蘇志強,107年直轄市議員選舉,首次申報,1070902,交通旅運支出,車容坊三富加油站,29337926,0.00,300.00,油資,金錢,,,
7,蘇志強,107年直轄市議員選舉,首次申報,1070902,交通旅運支出,車容坊三富加油站,29337926,0.00,1151.00,油資,金錢,,,
8,蘇志強,107年直轄市議員選舉,首次申報,1070902,交通旅運支出,中油慈湖站加油站,44413747,0.00,1000.00,油資,金錢,,,
9,蘇志強,107年直轄市議員選舉,首次申報,1070904,交通旅運支出,中油慈湖站加油站,44413747,0.00,1000.00,油資,金錢,,,
10,蘇志強,107年直轄市議員選舉,首次申報,1070905,雜支支出,台茂家具行,21543705,0.00,14700.00,購置辦公室桌椅,金錢,桃園市大溪區****,,
11,蘇志強,107年直轄市議員選舉,首次申報,1070906,交通旅運支出,中油士香加油站,23559077,0.00,1000.00,油資,金錢,,,
12,蘇志強,107年直轄市議員選舉,首次申報,1070906,交通旅運支出,中油士香加油站,23559077,0.00,1000.00,油資,金錢,,,
13,蘇志強,107年直轄市議員選舉,首次申報,1070908,交通旅運支出,中油大溪站加油站,43032214,0.00,1000.00,油資,金錢,,,
14,蘇志強,107年直轄市議員選舉,首次申報,1070909,交通旅運支出,中油慈湖站加油站,44413747,0.00,1000.00,油資,金錢,,,
15,蘇志強,107年直轄市議員選舉,首次申報,1070912,交通旅運支出,中油復興站加油站,02712130,0.00,1000.00,油資,金錢,,,
16,蘇志強,107年直轄市議員選舉,首次申報,1070912,雜支支出,台茂家具行,21543705,0.00,4900.00,購置辦公室茶几,金錢,桃園市大溪區****,,
17,蘇志強,107年直轄市議員選舉,首次申報,1070912,交通旅運支出,中油士香加油站,23559077,0.00,1100.00,油資,金錢,,,
18,蘇志強,107年直轄市議員選舉,首次申報,1070913,交通旅運支出,九如龍岡加油站,16256528,0.00,1000.00,油資,金錢,,,
19,蘇志強,107年直轄市議員選舉,首次申報,1070914,交通旅運支出,中油快速路加油站,24221708,0.00,1000.00,油資,金錢,,,
20,蘇志強,107年直轄市議員選舉,首次申報,1070917,交通旅運支出,中油慈湖站加油站,44413747,0.00,1000.00,油資,金錢,,,
21,蘇志強,107年直轄市議員選舉,首次申報,1070918,交通旅運支出,中油士香加油站,23559077,0.00,1100.00,油資,金錢,,,
22,蘇志強,107年直轄市議員選舉,首次申報,1070921,交通旅運支出,中油慈湖站加油站,44413747,0.00,1000.00,油資,金錢,,,
23,蘇志強,107年直轄市議員選舉,首次申報,1070922,交通旅運支出,正興加油站,23086330,0.00,1000.00,油資,金錢,,,
24,蘇志強,107年直轄市議員選舉,首次申報,1070923,交通旅運支出,中油祥順加油站,16047086,0.00,1000.00,油資,金錢,,,
25,蘇志強,107年直轄市議員選舉,首次申報,1070925,交通旅運支出,中油龍岡加油站,02700330,0.00,100.00,油資,金錢,,,
26,蘇志強,107年直轄市議員選舉,首次申報,1070926,交通旅運支出,國道加油站,84867060,0.00,1000.00,油資,金錢,,,
27,蘇志強,107年直轄市議員選舉,首次申報,1070927,交通旅運支出,中油慈湖站加油站,44413747,0.00,1000.00,油資,金錢,,,
28,蘇志強,107年直轄市議員選舉,首次申報,1070928,交通旅運支出,九如龍岡加油站,16256528,0.00,1000.00,油資,金錢,,,
29,蘇志強,107年直轄市議員選舉,首次申報,1070929,交通旅運支出,全國中壢加油站,26117309,0.00,1000.00,油資,金錢,,,
30,蘇志強,107年直轄市議員選舉,首次申報,1071001,交通旅運支出,中油復興站加油站,02712130,0.00,1000.00,油資,金錢,,,
31,蘇志強,107年直轄市議員選舉,首次申報,1071002,交通旅運支出,中油士香加油站,23559077,0.00,1000.00,油資,金錢,,,
32,蘇志強,107年直轄市議員選舉,首次申報,1071002,交通旅運支出,中油士香加油站,23559077,0.00,100.00,油資,金錢,,,
33,蘇志強,107年直轄市議員選舉,首次申報,1071003,宣傳支出,綠山廣告資訊行,94957511,0.00,7500.00,文宣品製作,金錢,桃園市桃園區****,,
34,蘇志強,107年直轄市議員選舉,首次申報,1071004,交通旅運支出,中油復興站加油站,02712130,0.00,500.00,油資,金錢,,,
35,蘇志強,107年直轄市議員選舉,首次申報,1071005,交通旅運支出,中油慈湖站加油站,44413747,0.00,1000.00,油資,金錢,,,
36,蘇志強,107年直轄市議員選舉,首次申報,1071006,雜支支出,坤明行,44992915,0.00,7500.00,塑膠椅子,金錢,桃園市中壢區****,,
37,蘇志強,107年直轄市議員選舉,首次申報,1071006,雜支支出,坤明行,44992915,0.00,5000.00,辦公室清潔用品,金錢,桃園市中壢區****,,
38,蘇志強,107年直轄市議員選舉,首次申報,1071007,交通旅運支出,九如龍岡加油站,16256528,0.00,1300.00,油資,金錢,,,
39,蘇志強,107年直轄市議員選舉,首次申報,1071011,交通旅運支出,山隆加油站,66950950,0.00,1000.00,油資,金錢,,,
40,蘇志強,107年直轄市議員選舉,首次申報,1071012,交通旅運支出,中油環中加油站,70686102,0.00,1000.00,油資,金錢,,,
41,蘇志強,107年直轄市議員選舉,首次申報,1071013,交通旅運支出,九如龍岡加油站,16256528,0.00,1000.00,油資,金錢,,,
42,蘇志強,107年直轄市議員選舉,首次申報,1071013,交通旅運支出,南興加油站,70918270,0.00,1000.00,油資,金錢,,,
43,蘇志強,107年直轄市議員選舉,首次申報,1071014,交通旅運支出,九如龍岡加油站,16256528,0.00,1025.00,油資,金錢,,,
44,蘇志強,107年直轄市議員選舉,首次申報,1071014,交通旅運支出,中油士香加油站,23559077,0.00,1000.00,油資,金錢,,,
45,蘇志強,107年直轄市議員選舉,首次申報,1071015,交通旅運支出,中油慈湖站加油站,44413747,0.00,1089.00,油資,金錢,,,
46,蘇志強,107年直轄市議員選舉,首次申報,1071017,交通旅運支出,中油復興站加油站,02712130,0.00,972.00,油資,金錢,,,
47,蘇志強,107年直轄市議員選舉,首次申報,1071017,交通旅運支出,中油復興站加油站,02712130,0.00,350.00,油資,金錢,,,
48,蘇志強,107年直轄市議員選舉,首次申報,1071017,交通旅運支出,中油復興站加油站,02712130,0.00,714.00,油資,金錢,,,
49,蘇志強,107年直轄市議員選舉,首次申報,1071017,交通旅運支出,中油大溪站加油站,43032214,0.00,1000.00,油資,金錢,,,
50,蘇志強,107年直轄市議員選舉,首次申報,1071018,交通旅運支出,中油復興站加油站,02712130,0.00,808.00,油資,金錢,,,
51,蘇志強,107年直轄市議員選舉,首次申報,1071020,交通旅運支出,中油士香加油站,23559077,0.00,1367.00,油資,金錢,,,
52,蘇志強,107年直轄市議員選舉,首次申報,1071020,交通旅運支出,中油慈湖站加油站,44413747,0.00,720.00,油資,金錢,,,
53,蘇志強,107年直轄市議員選舉,首次申報,1071021,交通旅運支出,中油復興站加油站,02712130,0.00,1120.00,油資,金錢,,,
54,蘇志強,107年直轄市議員選舉,首次申報,1071021,交通旅運支出,中油士香加油站,23559077,0.00,1100.00,油資,金錢,,,
55,蘇志強,107年直轄市議員選舉,首次申報,1071021,交通旅運支出,中油慈湖站加油站,44413747,0.00,1000.00,油資,金錢,,,
56,蘇志強,107年直轄市議員選舉,首次申報,1071024,交通旅運支出,中油龍岡加油站,02700330,0.00,638.00,油資,金錢,,,
57,蘇志強,107年直轄市議員選舉,首次申報,1071024,交通旅運支出,台亞大溪加油站,14673484,0.00,1110.00,油資,金錢,,,
58,蘇志強,107年直轄市議員選舉,首次申報,1071025,交通旅運支出,中油復興站加油站,02712130,0.00,700.00,油資,金錢,,,
59,蘇志強,107年直轄市議員選舉,首次申報,1071025,交通旅運支出,中油慈湖站加油站,44413747,0.00,1000.00,油資,金錢,,,
60,蘇志強,107年直轄市議員選舉,首次申報,1071025,宣傳支出,綠山廣告資訊行,94957511,0.00,10000.00,文宣品製作,金錢,桃園市桃園區****,,
61,蘇志強,107年直轄市議員選舉,首次申報,1071026,交通旅運支出,中油復興站加油站,02712130,0.00,980.00,油資,金錢,,,
62,蘇志強,107年直轄市議員選舉,首次申報,1071026,交通旅運支出,中油復興站加油站,02712130,0.00,500.00,油資,金錢,,,
63,蘇志強,107年直轄市議員選舉,首次申報,1071026,交通旅運支出,中油士香加油站,23559077,0.00,1000.00,油資,金錢,,,
64,蘇志強,107年直轄市議員選舉,首次申報,1071027,交通旅運支出,鼎益加油站,86970103,0.00,1000.00,油資,金錢,,,
