序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,李鎮國,107年直轄市議員選舉,首次申報,1070612,交通旅運支出,北基國際股份有限公司北基崑山加油站,37668167,0.00,1321.00,油資,金錢,臺南市永康區****,,
2,李鎮國,107年直轄市議員選舉,首次申報,1070618,雜支支出,家福股份有限公司台南仁德分公司,27927524,0.00,795.00,雜項購置或修繕費用,金錢,臺南市仁德區****,,
3,李鎮國,107年直轄市議員選舉,首次申報,1070621,雜支支出,中華電信股份有限公司台南營業處永康服務中心,47835930,0.00,500.00,網際網路費用,金錢,臺南市永康區****,,
4,李鎮國,107年直轄市議員選舉,首次申報,1070621,雜支支出,中華電信股份有限公司台南營業處永康服務中心,47835930,0.00,3000.00,網際網路費用,金錢,臺南市永康區****,,
5,李鎮國,107年直轄市議員選舉,首次申報,1070701,交通旅運支出,北基國際股份有限公司北基崑山加油站,37668167,0.00,1482.00,油資,金錢,臺南市永康區****,,
6,李鎮國,107年直轄市議員選舉,首次申報,1070702,雜支支出,吉桔清粥小菜,70906393,0.00,6220.00,餐飲費用,金錢,臺南市永康區****,,
7,李鎮國,107年直轄市議員選舉,首次申報,1070704,雜支支出,垂坤食品有限公司山柑分公司,54262986,0.00,4000.00,餐飲費用,金錢,苗栗縣苑裡鎮****,,
8,李鎮國,107年直轄市議員選舉,首次申報,1070705,雜支支出,玉淋外燴,25775043,0.00,9425.00,餐飲費用,金錢,臺南市永康區****,,
9,李鎮國,107年直轄市議員選舉,首次申報,1070707,雜支支出,家福股份有限公司台南中華分公司,84306384,0.00,4189.00,雜項購置或修繕費用,金錢,臺南市永康區****,,
10,李鎮國,107年直轄市議員選舉,首次申報,1070709,雜支支出,鴻承餐飲,47825481,0.00,550.00,餐飲費用,金錢,臺南市永康區****,,
11,李鎮國,107年直轄市議員選舉,首次申報,1070710,交通旅運支出,北基國際股份有限公司北基崑山加油站,37668167,0.00,1437.00,油資,金錢,臺南市永康區****,,
12,李鎮國,107年直轄市議員選舉,首次申報,1070715,雜支支出,大新白板黑板行,78489076,0.00,8000.00,雜項購置或修繕費用,金錢,臺南市永康區****,,
13,李鎮國,107年直轄市議員選舉,首次申報,1070721,雜支支出,好市多股份有限公司台南分公司,28995746,0.00,2114.00,餐飲費用,金錢,臺南市北區和****,,
14,李鎮國,107年直轄市議員選舉,首次申報,1070724,雜支支出,燦坤實業股份有限公司中華營業處,20366569,0.00,699.00,雜項購置或修繕費用,金錢,臺南市永康區****,,
15,李鎮國,107年直轄市議員選舉,首次申報,1070729,雜支支出,鴻承餐飲,47825481,0.00,560.00,餐飲費用,金錢,臺南市永康區****,,
16,李鎮國,107年直轄市議員選舉,首次申報,1070731,宣傳支出,民生企業行,06814192,0.00,3660.00,製作競選物品支出（物品名稱-國旗串旗）,金錢,高雄市鹽埕區****,,
17,李鎮國,107年直轄市議員選舉,首次申報,1070731,交通旅運支出,北基國際股份有限公司北基崑山加油站,37668167,0.00,1244.00,油資,金錢,臺南市永康區****,,
18,李鎮國,107年直轄市議員選舉,首次申報,1070731,宣傳支出,袋來好禮有限公司,53381838,0.00,12317.00,製作宣傳廣告支出,金錢,彰化縣崙平里****,04-7*****,
19,李鎮國,107年直轄市議員選舉,首次申報,1070731,雜支支出,東山鎖店,56912774,0.00,600.00,雜項購置或修繕費用,金錢,臺南市東區小****,,
20,李鎮國,107年直轄市議員選舉,首次申報,1070801,宣傳支出,飛揚旗機事業,62930928,0.00,50000.00,製作競選物品支出（物品名稱-廣告旗幟個）,金錢,臺南市仁德區****,0627*****,
21,李鎮國,107年直轄市議員選舉,首次申報,1070803,租用競選辦事處支出,四季電腦,10437994,0.00,9500.00,租買辦公設備支出,金錢,臺南市永康區****,,
22,李鎮國,107年直轄市議員選舉,首次申報,1070803,雜支支出,翰璟圖書文具有限公司,12999133,0.00,830.00,文具用品費用,金錢,臺南市永康區****,,
23,李鎮國,107年直轄市議員選舉,首次申報,1070803,雜支支出,玉淋外燴,25775043,0.00,8410.00,餐飲費用,金錢,臺南市永康區****,,
24,李鎮國,107年直轄市議員選舉,首次申報,1070803,宣傳支出,角館設計,40888637,0.00,50000.00,委託辦理研究、評估、調查、設計或規劃支出,金錢,臺南市仁德區****,0625*****,
25,李鎮國,107年直轄市議員選舉,首次申報,1070805,宣傳支出,飛揚旗機事業,62930928,0.00,80000.00,製作競選物品支出（物品名稱-廣告帆布）,金錢,臺南市仁德區****,0627*****,
26,李鎮國,107年直轄市議員選舉,首次申報,1070806,租用競選辦事處支出,四季電腦,10437994,0.00,6500.00,租買辦公設備支出,金錢,臺南市永康區****,,
27,李鎮國,107年直轄市議員選舉,首次申報,1070806,雜支支出,吉桔清粥小菜,70906393,0.00,9585.00,餐飲費用,金錢,臺南市永康區****,,
28,李鎮國,107年直轄市議員選舉,首次申報,1070807,雜支支出,天鳳有限公司,54060052,0.00,158.00,文具用品費用,金錢,臺南市永康區****,,
29,李鎮國,107年直轄市議員選舉,首次申報,1070807,雜支支出,多米有限公司,80246322,0.00,158.00,文具用品費用,金錢,臺南市東區東****,,
30,李鎮國,107年直轄市議員選舉,首次申報,1070808,雜支支出,順發電腦股份有限公司台南分公司,28979128,0.00,159.00,雜項購置或修繕費用,金錢,臺南市中西區****,,
31,李鎮國,107年直轄市議員選舉,首次申報,1070808,宣傳支出,健紗坊印刷事業股份有限公司,54113207,0.00,36708.00,製作競選物品支出（物品名稱-面紙袖珍包包）,金錢,苗栗縣苗栗市****,,
32,李鎮國,107年直轄市議員選舉,首次申報,1070809,宣傳支出,中華郵政股份有限公司台南大同路郵局,69678435,0.00,12250.00,郵寄競選物品或宣傳廣告支出,金錢,臺南市南區大****,,
33,李鎮國,107年直轄市議員選舉,首次申報,1070809,雜支支出,多米有限公司,80246322,0.00,200.00,文具用品費用,金錢,臺南市東區東****,,
34,李鎮國,107年直轄市議員選舉,首次申報,1070809,雜支支出,多米有限公司,80246322,0.00,790.00,文具用品費用,金錢,臺南市東區東****,,
35,李鎮國,107年直轄市議員選舉,首次申報,1070811,雜支支出,昌北生活館有限公司,25065818,0.00,850.00,雜項購置或修繕費用,金錢,臺南市永康區****,,
36,李鎮國,107年直轄市議員選舉,首次申報,1070812,雜支支出,全弘五金百貨行,40907120,0.00,510.00,雜項購置或修繕費用,金錢,臺南市永康區****,,
37,李鎮國,107年直轄市議員選舉,首次申報,1070813,宣傳支出,舞星表演用品行,10473490,0.00,4500.00,製作競選物品支出（物品名稱-國旗手搖旗個）,金錢,高雄市旗山區****,,
38,李鎮國,107年直轄市議員選舉,首次申報,1070813,雜支支出,全弘五金百貨行,40907120,0.00,99.00,雜項購置或修繕費用,金錢,臺南市永康區****,,
39,李鎮國,107年直轄市議員選舉,首次申報,1070813,雜支支出,侑達商行,47847491,0.00,1230.00,雜項購置或修繕費用,金錢,屏東縣屏東市****,,
40,李鎮國,107年直轄市議員選舉,首次申報,1070813,租用競選辦事處支出,三立貨櫃有限公司,64976569,0.00,10500.00,租用競選辦事處費用,金錢,臺南市南區公****,,
41,李鎮國,107年直轄市議員選舉,首次申報,1070813,交通旅運支出,台灣中油股份有限公司台南東門路加油站,68073514,0.00,135.00,油資,金錢,臺南市東區東****,,
42,李鎮國,107年直轄市議員選舉,首次申報,1070813,宣傳支出,中華郵政股份有限公司台南東寧路郵局,69699522,0.00,18200.00,郵寄競選物品或宣傳廣告支出,金錢,臺南市東區東****,,
43,李鎮國,107年直轄市議員選舉,首次申報,1070813,雜支支出,多米有限公司,80246322,0.00,2170.00,文具用品費用,金錢,臺南市東區東****,,
44,李鎮國,107年直轄市議員選舉,首次申報,1070814,雜支支出,頂好麵包行,06604415,0.00,328.00,餐飲費用,金錢,臺南市永康區****,,
45,李鎮國,107年直轄市議員選舉,首次申報,1070814,雜支支出,華園快餐,09565366,0.00,610.00,餐飲費用,金錢,臺南市東區崇****,,
46,李鎮國,107年直轄市議員選舉,首次申報,1070815,雜支支出,昌北生活館有限公司,25065818,0.00,165.00,雜項購置或修繕費用,金錢,臺南市永康區****,,
47,李鎮國,107年直轄市議員選舉,首次申報,1070815,宣傳支出,角館設計,40888637,0.00,25000.00,製作競選物品支出（物品名稱-名片，文宣）,金錢,臺南市仁德區****,,
48,李鎮國,107年直轄市議員選舉,首次申報,1070816,雜支支出,好市多股份有限公司台南分公司,28995746,0.00,1380.00,餐飲費用,金錢,臺南市北區和****,,
49,李鎮國,107年直轄市議員選舉,首次申報,1070816,宣傳支出,中華郵政股份有限公司永康網寮郵局,69678441,0.00,210.00,郵寄競選物品或宣傳廣告支出,金錢,臺南市永康區****,,
50,李鎮國,107年直轄市議員選舉,首次申報,1070816,租用競選辦事處支出,康曦資訊股份有限公司,89768286,0.00,4000.00,租買辦公設備支出,金錢,臺南市東區林****,,
51,李鎮國,107年直轄市議員選舉,首次申報,1070816,租用競選辦事處支出,康曦資訊股份有限公司,89768286,0.00,7000.00,租買辦公設備支出,金錢,臺南市東區林****,,
52,李鎮國,107年直轄市議員選舉,首次申報,1070816,租用競選辦事處支出,康曦資訊股份有限公司,89768286,0.00,9000.00,租買辦公設備支出,金錢,臺南市東區林****,,
53,李鎮國,107年直轄市議員選舉,首次申報,1070817,交通旅運支出,北基國際股份有限公司北基崑山加油站,37668167,0.00,1188.00,油資,金錢,臺南市永康區****,,
54,李鎮國,107年直轄市議員選舉,首次申報,1070818,雜支支出,中華電信股份有限公司台南營運處,69109906,0.00,1786.00,電信費用,金錢,臺南市中西區****,,
55,李鎮國,107年直轄市議員選舉,首次申報,1070820,雜支支出,宏安五金行,06595730,0.00,50.00,雜項購置或修繕費用,金錢,臺南市永康區****,,
56,李鎮國,107年直轄市議員選舉,首次申報,1070820,雜支支出,全弘五金百貨行,40907120,0.00,154.00,雜項購置或修繕費用,金錢,臺南市永康區****,,
57,李鎮國,107年直轄市議員選舉,首次申報,1070820,宣傳支出,中華郵政股份有限公司台南東寧路郵局,69699522,0.00,7059.00,郵寄競選物品或宣傳廣告支出,金錢,臺南市東區東****,,
