序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,陳世霖,107年直轄市議員選舉,首次申報,1070702,宣傳支出,阿華農產行,25765684,0.00,28500.00,製作競選物品支出（竹尾）,金錢,臺南市歸仁區****,,
2,陳世霖,107年直轄市議員選舉,首次申報,1070710,宣傳支出,威航貿易有限公司,84243375,0.00,23500.00,製作競選物品支出（礦泉水）,金錢,台南市東區復****,,
3,陳世霖,107年直轄市議員選舉,首次申報,1070719,宣傳支出,統新藝品社,10175197,0.00,37500.00,製作競選物品支出（扁額）,金錢,臺南市永康區****,,
4,陳世霖,107年直轄市議員選舉,首次申報,1070720,宣傳支出,橙色視覺設計社,99138652,0.00,37400.00,製作宣傳廣告支出,金錢,臺南市關廟區****,,
5,陳世霖,107年直轄市議員選舉,首次申報,1070723,宣傳支出,阿華農產行,25765684,0.00,39120.00,製作競選物品支出（竹尾）,金錢,臺南市歸仁區****,,
6,陳世霖,107年直轄市議員選舉,首次申報,1070730,宣傳支出,亞格志視覺設計社,36947108,0.00,34000.00,製作競選物品支出(扇子）,金錢,高雄市阿蓮區****,,
7,陳世霖,107年直轄市議員選舉,首次申報,1070801,雜支支出,宏遠電訊股份有限公司,16087137,0.00,1200.00,電信費用,金錢,新北市新店區****,,
8,陳世霖,107年直轄市議員選舉,首次申報,1070801,雜支支出,中華電信股份有限公司,69109906,0.00,1288.00,電信費用,金錢,台南市西門路****,,
9,陳世霖,107年直轄市議員選舉,首次申報,1070807,宣傳支出,亞格志視覺設計社,36947108,0.00,58175.00,製作宣傳廣告支出,金錢,高雄市阿蓮區****,,
10,陳世霖,107年直轄市議員選舉,首次申報,1070814,宣傳支出,阿華農產行,25765684,0.00,33000.00,製作競選物品支出（竹尾）,金錢,臺南市歸仁區****,,
11,陳世霖,107年直轄市議員選舉,首次申報,1070814,宣傳支出,韋丞企業社,36830043,0.00,60000.00,製作競選物品支出（競選背心）,金錢,臺南市仁德區****,,
12,陳世霖,107年直轄市議員選舉,首次申報,1070814,宣傳支出,亞格志視覺設計社,36947108,0.00,57199.00,製作宣傳廣告支出,金錢,高雄市阿蓮區****,,
13,陳世霖,107年直轄市議員選舉,首次申報,1070814,宣傳支出,尚展廣告社,87862996,0.00,26000.00,製作宣傳廣告支出,金錢,台南市中華東****,,
14,陳世霖,107年直轄市議員選舉,首次申報,1070817,宣傳支出,威航貿易有限公司,84243375,0.00,24600.00,製作競選物品支出（礦泉水）,金錢,台南市東區復****,,
15,陳世霖,107年直轄市議員選舉,首次申報,1070818,宣傳支出,冠泰實業社,90998309,0.00,54500.00,製作競選物品支出（布旗）,金錢,臺南市東區崇****,,
16,陳世霖,107年直轄市議員選舉,首次申報,1070820,宣傳支出,威航貿易有限公司,84243375,0.00,24600.00,製作競選物品支出（水）,金錢,臺南市東區復****,,
17,陳世霖,107年直轄市議員選舉,首次申報,1070901,雜支支出,中華電信股份有限公司,69109906,0.00,1163.00,電信費用,金錢,臺南市中西區****,,
18,陳世霖,107年直轄市議員選舉,首次申報,1070903,宣傳支出,韋丞企業社,36830043,0.00,40000.00,製作競選物品支出（競選T恤）,金錢,臺南市仁德區****,,
19,陳世霖,107年直轄市議員選舉,首次申報,1070904,宣傳支出,阿華農產行,25765684,0.00,43800.00,製作競選物品支出（竹尾）,金錢,臺南市歸仁區****,,
20,陳世霖,107年直轄市議員選舉,首次申報,1070904,宣傳支出,神通廣告社,76991939,0.00,4350.00,製作競選物品支出（PP輸出）,金錢,高雄市岡山區****,,
21,陳世霖,107年直轄市議員選舉,首次申報,1070906,宣傳支出,亞格志視覺設計社,36947108,0.00,49600.00,製作宣傳廣告支出,金錢,高雄市阿蓮區****,,
22,陳世霖,107年直轄市議員選舉,首次申報,1070911,宣傳支出,森森塑膠股份有限公司,16035151,0.00,11700.00,製作競選物品支出（平口袋）,金錢,臺南市永康區****,,
23,陳世霖,107年直轄市議員選舉,首次申報,1070911,租用競選辦事處支出,華樹園花藝設計名店,19792278,0.00,2000.00,裝潢競選辦事處支出,金錢,臺南市永康區****,,
24,陳世霖,107年直轄市議員選舉,首次申報,1070911,宣傳支出,冠泰實業社,90998309,0.00,20000.00,製作競選物品支出（布條）,金錢,臺南市東區崇****,,
25,陳世霖,107年直轄市議員選舉,首次申報,1070920,宣傳支出,中中企業社,67947878,0.00,17154.00,播送、傳送或刊登宣傳廣告支出,金錢,花蓮縣花蓮市****,,
26,陳世霖,107年直轄市議員選舉,首次申報,1070921,宣傳支出,齊億印刷企業,17248842,0.00,16550.00,製作競選物品支出（廣告單，名片，邀請卡）,金錢,臺南市歸仁區****,,
27,陳世霖,107年直轄市議員選舉,首次申報,1070922,宣傳支出,阿華農產行,25765684,0.00,30840.00,製作競選物品支出（竹尾）,金錢,臺南市歸仁區****,,
28,陳世霖,107年直轄市議員選舉,首次申報,1071001,租用宣傳車輛支出,台灣中油(元大站),03707901,0.00,42490.00,宣傳車輛燃料支出,金錢,臺南市永康區****,,
29,陳世霖,107年直轄市議員選舉,首次申報,1071001,雜支支出,中華電信股份有限公司,69109906,0.00,830.00,電信費用,金錢,臺南市中西區****,,
30,陳世霖,107年直轄市議員選舉,首次申報,1071002,宣傳支出,亞格志視覺設計社,36947108,0.00,75000.00,製作競選物品支出（旗幟）,金錢,高雄市阿蓮區****,,
31,陳世霖,107年直轄市議員選舉,首次申報,1071011,宣傳支出,阿華農產行,25765684,0.00,34200.00,製作競選物品支出（竹尾）,金錢,臺南市歸仁區****,,
32,陳世霖,107年直轄市議員選舉,首次申報,1071011,宣傳支出,亞格志視覺設計社,36947108,0.00,40850.00,製作宣傳廣告支出,金錢,高雄市阿蓮區****,,
