序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,施偉政,107年縣(市)議員選舉,首次申報,1070702,宣傳支出,吉祥廣告社,98099126,0.00,100000.00,製作宣傳廣告支出,金錢,基隆市中正區****,0224*****,
2,施偉政,107年縣(市)議員選舉,首次申報,1071015,宣傳支出,弘韻會場工程行,41359207,0.00,34000.00,製作宣傳廣告支出,金錢,基隆市暖暖區****,0919*****,
3,施偉政,107年縣(市)議員選舉,首次申報,1071031,宣傳支出,弘韻會場工程行,41359207,0.00,16000.00,製作宣傳廣告支出,金錢,基隆市暖暖區****,0919*****,
4,施偉政,107年縣(市)議員選舉,首次申報,1071102,宣傳支出,吉祥廣告社,98099126,0.00,100000.00,製作宣傳廣告支出,金錢,基隆市中正區****,0224*****,
5,施偉政,107年縣(市)議員選舉,首次申報,1071107,宣傳支出,大順廣告社,81809550,0.00,100000.00,製作宣傳廣告支出,金錢,基隆市中山區****,0224*****,
6,施偉政,107年縣(市)議員選舉,首次申報,1071112,宣傳支出,婕映企業社,81821702,0.00,34000.00,製作宣傳廣告支出,金錢,基隆市中山區****,0224*****,
7,施偉政,107年縣(市)議員選舉,首次申報,1071112,宣傳支出,婕映企業社,81821702,0.00,42000.00,製作宣傳廣告支出,金錢,基隆市中山區****,0224*****,
8,施偉政,107年縣(市)議員選舉,首次申報,1071112,宣傳支出,婕映企業社,81821702,0.00,6000.00,製作宣傳廣告支出,金錢,基隆市中山區****,0224*****,
9,施偉政,107年縣(市)議員選舉,首次申報,1071120,宣傳支出,吉祥廣告社,98099126,0.00,127600.00,製作宣傳廣告支出,金錢,基隆市中正區****,0224*****,
10,施偉政,107年縣(市)議員選舉,首次申報,1080221,返還支出,華達通運股份有限公司,84889825,0.00,100000.00,返還,金錢,基隆市中正區****,0224*****,
