序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,李香蘭,107年縣(市)議員選舉,首次申報,1070820,宣傳支出,廣鈦企業社,47731914,0.00,75000.00,製作競選物品支出（物品名稱-帽子）,金錢,屏東縣萬丹鄉****,,
2,李香蘭,107年縣(市)議員選舉,首次申報,1070903,公共關係費用支出,晉雅堂,05923340,0.00,5000.00,為民服務費用,金錢,彰化縣鹿港鎮****,,
3,李香蘭,107年縣(市)議員選舉,首次申報,1070907,公共關係費用支出,晉雅堂,05923340,0.00,2500.00,為民服務費用,金錢,彰化縣鹿港鎮****,,
4,李香蘭,107年縣(市)議員選舉,首次申報,1070908,宣傳支出,廣鈦企業社,47731914,0.00,60000.00,製作競選物品支出（物品名稱-衣服）,金錢,屏東縣萬丹鄉****,,
5,李香蘭,107年縣(市)議員選舉,首次申報,1070913,宣傳支出,廣鈦企業社,47731914,0.00,70000.00,製作競選物品支出（物品名稱-毛巾）,金錢,屏東縣萬丹鄉****,,
6,李香蘭,107年縣(市)議員選舉,首次申報,1070928,公共關係費用支出,晉雅堂,05923340,0.00,7000.00,為民服務費用,金錢,彰化縣鹿港鎮****,,
7,李香蘭,107年縣(市)議員選舉,首次申報,1071003,宣傳支出,廣鈦企業社,47731914,0.00,45000.00,製作競選物品支出（物品名稱-衣服）,金錢,屏東縣萬丹鄉****,,
8,李香蘭,107年縣(市)議員選舉,首次申報,1071010,宣傳支出,順成電子企業行,91841663,0.00,7000.00,音響出租,金錢,屏東縣潮州鎮****,,
9,李香蘭,107年縣(市)議員選舉,首次申報,1071015,宣傳支出,豐田商號,14473520,0.00,27000.00,製作競選物品支出（物品名稱-毛巾）,金錢,屏東縣萬丹鄉****,,
10,李香蘭,107年縣(市)議員選舉,首次申報,1071020,宣傳支出,青恆視覺設計工作室,41305131,0.00,72800.00,製作競選物品支出（文宣品印刷-菜瓜布）,金錢,高雄市鹽埕區****,,
11,李香蘭,107年縣(市)議員選舉,首次申報,1071024,雜支支出,榮庭電腦,10727451,0.00,1550.00,雜項購置或修繕費用,金錢,屏東縣萬丹鄉****,,
12,李香蘭,107年縣(市)議員選舉,首次申報,1071024,雜支支出,99五金日用品,83846715,0.00,476.00,雜項購置或修繕費用,金錢,屏東縣萬丹鄉****,,
13,李香蘭,107年縣(市)議員選舉,首次申報,1071024,返還支出,眾宏實業有限公司,84586723,0.00,200000.00,返還,金錢,屏東縣九如鄉****,,
14,李香蘭,107年縣(市)議員選舉,首次申報,1071024,公共關係費用支出,屏東縣萬丹鄉農會,99585053,0.00,11700.00,聯誼交際費用,金錢,屏東縣萬丹鄉****,,
15,李香蘭,107年縣(市)議員選舉,首次申報,1071025,宣傳支出,透明光廣告社,17411061,0.00,101699.00,廣告帆布,金錢,高雄市大寮區****,,
16,李香蘭,107年縣(市)議員選舉,首次申報,1071026,雜支支出,龍順單車生活館,10895225,0.00,2000.00,雜項購置或修繕費用,金錢,屏東縣萬丹鄉****,,
17,李香蘭,107年縣(市)議員選舉,首次申報,1071026,雜支支出,德興行,99593265,0.00,3350.00,餐飲費用,金錢,屏東縣萬丹鄉****,,
18,李香蘭,107年縣(市)議員選舉,首次申報,1071026,雜支支出,德興行,99593265,0.00,4975.00,餐飲費用,金錢,屏東縣萬丹鄉****,,
19,李香蘭,107年縣(市)議員選舉,首次申報,1071027,雜支支出,詠順五金行,62911210,0.00,2465.00,雜項購置或修繕費用,金錢,屏東縣萬丹鄉****,,
20,李香蘭,107年縣(市)議員選舉,首次申報,1071027,雜支支出,永新塑膠行,90858074,0.00,1310.00,雜項購置或修繕費用,金錢,屏東縣萬丹鄉****,,
21,李香蘭,107年縣(市)議員選舉,首次申報,1071031,宣傳支出,青恆視覺設計工作室,41305131,0.00,17850.00,製作宣傳廣告支出,金錢,高雄市鹽埕區****,,
22,李香蘭,107年縣(市)議員選舉,首次申報,1071101,雜支支出,信功實業股份有限公司屏東食品工廠,08002001,0.00,4000.00,豬肉,金錢,屏東縣長治鄉****,,
23,李香蘭,107年縣(市)議員選舉,首次申報,1071101,宣傳支出,存億廣告企業社,17374988,0.00,53130.00,廣告布旗,金錢,高雄市林園區****,,
24,李香蘭,107年縣(市)議員選舉,首次申報,1071101,公共關係費用支出,雲朗觀光股份有限公司高雄分公司,23525197,0.00,5583.00,聯誼交際費用,金錢,高雄市鹽埕區****,,
25,李香蘭,107年縣(市)議員選舉,首次申報,1071101,雜支支出,德興行,99593265,0.00,6550.00,餐飲費用,金錢,屏東縣萬丹鄉****,,
26,李香蘭,107年縣(市)議員選舉,首次申報,1071103,集會支出,貝拉米宴會設計有限公司,53575118,0.00,52500.00,茶點,金錢,高雄市左營區****,,
27,李香蘭,107年縣(市)議員選舉,首次申報,1071103,集會支出,公館肉粽,99534885,0.00,30000.00,餐飲支出,金錢,屏東縣屏東市****,,
28,李香蘭,107年縣(市)議員選舉,首次申報,1071106,雜支支出,99五金日用品,83846715,0.00,1490.00,雜項購置或修繕費用,金錢,屏東縣萬丹鄉****,,
29,李香蘭,107年縣(市)議員選舉,首次申報,1071108,雜支支出,德興行,99593265,0.00,5000.00,餐飲費用,金錢,屏東縣萬丹鄉****,,
30,李香蘭,107年縣(市)議員選舉,首次申報,1071112,雜支支出,德興行,99593265,0.00,5700.00,餐飲費用,金錢,屏東縣萬丹鄉****,,
31,李香蘭,107年縣(市)議員選舉,首次申報,1071115,公共關係費用支出,憶蘭花園,29396874,0.00,6000.00,聯誼交際費用,金錢,屏東縣屏東市****,,
32,李香蘭,107年縣(市)議員選舉,首次申報,1071115,宣傳支出,寶利紳企業社,40756452,0.00,11520.00,製作競選物品支出（物品名稱-帽子）,金錢,屏東縣萬丹鄉****,,
33,李香蘭,107年縣(市)議員選舉,首次申報,1071117,租用宣傳車輛支出,順展輪胎行,76793972,0.00,13000.00,吋輪胎,金錢,屏東縣萬丹鄉****,,
34,李香蘭,107年縣(市)議員選舉,首次申報,1071118,公共關係費用支出,憶蘭花園,29396874,0.00,3000.00,聯誼交際費用,金錢,屏東縣屏東市****,,
35,李香蘭,107年縣(市)議員選舉,首次申報,1071119,雜支支出,燦坤實業股份有限公司萬丹分公司,28989224,0.00,3033.00,雜項購置或修繕費用,金錢,屏東縣萬丹鄉****,,
36,李香蘭,107年縣(市)議員選舉,首次申報,1071120,宣傳支出,豐田商號,14473520,0.00,27000.00,製作競選物品支出（物品名稱-毛巾）,金錢,屏東縣萬丹鄉****,,
37,李香蘭,107年縣(市)議員選舉,首次申報,1071120,雜支支出,萬丹藥局,76798420,0.00,2000.00,雜項購置或修繕費用,金錢,屏東縣萬丹鄉****,,
38,李香蘭,107年縣(市)議員選舉,首次申報,1071120,宣傳支出,明祥旗社,93843580,0.00,95871.00,製作宣傳廣告支出,金錢,臺東縣臺東市****,,
39,李香蘭,107年縣(市)議員選舉,首次申報,1071121,雜支支出,順展輪胎行,76793972,0.00,13000.00,雜項購置或修繕費用,金錢,屏東縣萬丹鄉****,,
40,李香蘭,107年縣(市)議員選舉,首次申報,1071201,雜支支出,貝卡小吃部,37682941,0.00,24800.00,便餐,金錢,屏東縣三地門****,,
41,李香蘭,107年縣(市)議員選舉,首次申報,1071212,宣傳支出,心一企業股份有限公司,89494723,0.00,147000.00,製作競選物品支出（物品名稱-包裝飲用水）,金錢,高雄市仁武區****,,
