序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1070929,雜支支出,雅園花坊,06362649,0.00,1300.00,轄內學校校慶,金錢,朴子市南通路****,,
2,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071001,宣傳支出,易展禮品百貨行,66648330,0.00,84000.00,旗幟,金錢,朴子市平和路****,,
3,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071012,宣傳支出,皇冠廣告社,09096532,0.00,20000.00,廣告看板,金錢,朴子市南通路****,,
4,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071012,宣傳支出,皇冠廣告社,09096532,0.00,30000.00,廣告看板,金錢,朴子市南通路****,,
5,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071013,宣傳支出,皇冠廣告社,09096532,0.00,40000.00,廣告看板,金錢,朴子市南通路****,,
6,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071018,雜支支出,雅園花坊,06362649,0.00,8500.00,參加轄內遶境活動,金錢,朴子市南通路****,,
7,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071020,雜支支出,富華燒鴨王便當,13626718,0.00,7500.00,便當,金錢,朴子市海通路****,,
8,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071020,宣傳支出,冠薇禮品社,26492374,0.00,10000.00,文宣品-原子筆,金錢,朴子市市東路****,,
9,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071020,雜支支出,朴馨便當店,40937150,0.00,2800.00,便當,金錢,朴子市山通路****,,
10,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071025,宣傳支出,嘉達體育用品社,62929844,0.00,7500.00,競選廣告帽子(布),金錢,朴子市山通路****,,
11,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071027,雜支支出,張記廣式燒臘店,25537015,0.00,3500.00,便當,金錢,朴子市文化北****,,
12,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071031,雜支支出,自然豬小排飯,25836766,0.00,975.00,便當,金錢,朴子市文明路****,,
13,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071101,宣傳支出,碧豐文創事業實業社,34958683,0.00,8000.00,競選活動文宣帽,金錢,朴子市市東路****,,
14,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071102,宣傳支出,朴子自由派報社,40924802,0.00,1600.00,文宣夾報費,金錢,朴子市四維路****,,
15,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071103,雜支支出,張記廣式燒臘店,25537015,0.00,5600.00,便當,金錢,朴子市文化北****,,
16,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071103,宣傳支出,碧豐文創事業實業社,34958683,0.00,8000.00,競選活動文宣帽,金錢,朴子市市東路****,,
17,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071104,雜支支出,東興行,67169104,0.00,1000.00,垃圾袋,金錢,朴子市中正路****,,
18,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071107,宣傳支出,碧豐文創事業實業社,34958683,0.00,8000.00,競選活動文宣帽,金錢,朴子市市東路****,,
19,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071110,宣傳支出,皇冠廣告社,09096532,0.00,10000.00,廣告帆布,金錢,朴子市南通路****,,
20,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071110,宣傳支出,華生行,14758758,0.00,15300.00,文宣海報印刷,金錢,朴子市友愛街****,,
21,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071110,宣傳支出,碧豐文創事業實業社,34958683,0.00,8600.00,競選活動文宣帽,金錢,朴子市市東路****,,
22,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071111,雜支支出,東興號,06365667,0.00,1770.00,紙杯.紙碗.湯匙.筷子,金錢,朴子市開元路****,,
23,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071113,雜支支出,東興號,06365667,0.00,300.00,衛生紙,金錢,朴子市開元路****,,
24,吳品叡,107年鄉(鎮、市)長選舉,首次申報,1071114,雜支支出,雅園花坊,06362649,0.00,9300.00,參選人婚喪喜慶雜項禮花,金錢,朴子市南通路****,,
