序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,張宜樺,107年鄉(鎮、市)長選舉,首次申報,1071025,租用競選辦事處支出,昌潔實業有限公司,84509260,0.00,11850.00,租買辦公設備支出,金錢,宜蘭縣壯圍鄉****,,
2,張宜樺,107年鄉(鎮、市)長選舉,首次申報,1071027,集會支出,五兄弟商行,92917367,0.00,63450.00,餐飲支出,金錢,宜蘭縣員山鄉****,0392*****,
3,張宜樺,107年鄉(鎮、市)長選舉,首次申報,1071030,租用競選辦事處支出,順發3C量販,28978958,0.00,2990.00,租買辦公設備支出,金錢,宜蘭縣宜蘭市****,,
4,張宜樺,107年鄉(鎮、市)長選舉,首次申報,1071101,宣傳支出,員山郵局,,0.00,1681.00,郵寄競選物品或宣傳廣告支出,金錢,宜蘭縣員山鄉****,,
5,張宜樺,107年鄉(鎮、市)長選舉,首次申報,1071107,宣傳支出,瑋凱團體有限公司,09753846,0.00,37900.00,製作宣傳廣告支出,金錢,宜蘭縣宜蘭市****,,
6,張宜樺,107年鄉(鎮、市)長選舉,首次申報,1071107,宣傳支出,歡樂揪客企業社,42004014,0.00,30000.00,製作競選物品支出（高空氣球）,金錢,宜蘭縣頭城鎮****,0934*****,
7,張宜樺,107年鄉(鎮、市)長選舉,首次申報,1071108,雜支支出,閃亮音響,13668701,0.00,18000.00,雜項購置或修繕費用,金錢,宜蘭縣壯圍鄉****,,
8,張宜樺,107年鄉(鎮、市)長選舉,首次申報,1071108,集會支出,宏銘棚架舞台企業,31494443,0.00,20685.00,租用設備支出,金錢,宜蘭縣礁溪鄉****,,
9,張宜樺,107年鄉(鎮、市)長選舉,首次申報,1071108,集會支出,海味鮮小吃,40968456,0.00,161750.00,餐飲支出,金錢,宜蘭縣頭城鎮****,0928*****,
10,張宜樺,107年鄉(鎮、市)長選舉,首次申報,1071110,租用競選辦事處支出,游日昇商店,00002012,0.00,9000.00,租買辦公設備支出,金錢,宜蘭縣員山鄉****,,
