序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,黃玉芬,107年鄉(鎮、市)長選舉,首次申報,1070816,宣傳支出,宏懋廣告企業社,09344385,0.00,4500.00,製作宣傳廣告支出,金錢,彰化縣員林市****,,
2,黃玉芬,107年鄉(鎮、市)長選舉,首次申報,1070816,宣傳支出,西北廣告社,18199192,0.00,18000.00,製作宣傳廣告支出,金錢,彰化市辭修路****,,
3,黃玉芬,107年鄉(鎮、市)長選舉,首次申報,1070820,宣傳支出,懋松事務用品企業行,13944002,0.00,20000.00,製作宣傳廣告支出,金錢,彰化縣彰化市****,,
4,黃玉芬,107年鄉(鎮、市)長選舉,首次申報,1070820,宣傳支出,懋松事務用品企業行,13944002,0.00,11550.00,製作宣傳廣告支出,金錢,彰化縣彰化市****,,
5,黃玉芬,107年鄉(鎮、市)長選舉,首次申報,1070823,宣傳支出,宏懋廣告企業社,09344385,0.00,5000.00,製作宣傳廣告支出,金錢,彰化縣員林市****,,
6,黃玉芬,107年鄉(鎮、市)長選舉,首次申報,1070828,宣傳支出,宏懋廣告企業社,09344385,0.00,4800.00,製作宣傳廣告支出,金錢,彰化縣員林市****,,
7,黃玉芬,107年鄉(鎮、市)長選舉,首次申報,1070830,宣傳支出,宏懋廣告企業社,09344385,0.00,4800.00,製作宣傳廣告支出,金錢,彰化縣員林市****,,
8,黃玉芬,107年鄉(鎮、市)長選舉,首次申報,1070831,宣傳支出,宏懋廣告企業社,09344385,0.00,4500.00,製作宣傳廣告支出,金錢,彰化縣員林市****,,
9,黃玉芬,107年鄉(鎮、市)長選舉,首次申報,1070901,雜支支出,彰南南北貨行,47375133,0.00,1950.00,小水箱,金錢,彰化縣彰化市****,,
10,黃玉芬,107年鄉(鎮、市)長選舉,首次申報,1070904,宣傳支出,宏懋廣告企業社,09344385,0.00,5000.00,製作宣傳廣告支出,金錢,彰化縣員林市****,,
