序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071001,雜支支出,薰衣草花藝店,98829496,0.00,13700.00,盆栽蘭花,金錢,彰化縣溪湖鎮****,,
2,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071002,雜支支出,凱雯禮儀社,13952924,0.00,38500.00,罐頭花圈盆栽,金錢,彰化縣溪湖鎮****,,
3,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071002,雜支支出,薰衣草花藝店,98829496,0.00,31300.00,盆景,金錢,彰化縣溪湖鎮****,,
4,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071017,雜支支出,凱雯禮儀社,13952924,0.00,15500.00,花圈花蘭罐頭藍,金錢,彰化縣溪湖鎮****,,
5,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071022,雜支支出,薰衣草花藝店,98829496,0.00,9000.00,盆景,金錢,彰化縣溪湖鎮****,0488*****,
6,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071031,雜支支出,阿亮禮儀禮品社,21865108,0.00,9900.00,花圈.罐頭籃,金錢,彰化縣溪湖鎮****,,
7,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071031,雜支支出,統一鮮花店,8857313,0.00,12800.00,花圈花籃罐頭藍,金錢,彰化縣溪湖鎮****,,
8,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071106,雜支支出,金美鮮花店,97851596,0.00,12500.00,盆栽.罐頭藍,金錢,彰化縣溪湖鎮****,,
9,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071114,租用宣傳車輛支出,一美商行,98613502,0.00,11700.00,廣告車支出,金錢,彰化縣員林市****,,
10,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071122,雜支支出,遠東鮮花店,08368970,0.00,21400.00,罐頭蘭花圈蘭花盆栽,金錢,彰化縣溪湖鎮****,,
11,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071122,雜支支出,薰衣草花藝店,98829496,0.00,5800.00,盆栽,金錢,彰化縣溪湖鎮****,,
12,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071123,雜支支出,凱雯禮儀社,13952924,0.00,21100.00,蘭花.罐頭藍.盆景,金錢,彰化縣溪湖鎮****,,
13,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071123,雜支支出,東廉鮮花店,45276208,0.00,8400.00,罐頭蘭花圈蘭花盆栽,金錢,彰化縣溪湖鎮****,,
14,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071123,雜支支出,薰衣草花藝店,98829496,0.00,16800.00,盆花,金錢,彰化縣溪湖鎮****,,
15,黃瑞珠,107年鄉(鎮、市)長選舉,首次申報,1071227,返還支出,電威電機股份有限公司,60256928,0.00,8888.00,返還,金錢,彰化縣溪湖鎮****,04-8*****,
