序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,徐慶煌,109年立法委員選舉,首次申報,1080527,宣傳支出,志勝企業社,36896109,0.00,20000.00,製作競選物品支出（便條紙和面紙）,金錢,屏東縣內埔鄉****,08-7*****,
2,徐慶煌,109年立法委員選舉,首次申報,1080530,宣傳支出,志勝企業社,36896109,0.00,18000.00,製作競選物品支出,金錢,屏東縣內埔鄉****,0877*****,
3,徐慶煌,109年立法委員選舉,首次申報,1080601,宣傳支出,志勝企業社,36896109,0.00,20000.00,製作競選物品支出（便條紙和面紙）,金錢,屏東縣內埔鄉****,08-7*****,
4,徐慶煌,109年立法委員選舉,首次申報,1080610,宣傳支出,志勝企業社,36896109,0.00,15000.00,製作競選物品支出,金錢,屏東縣內埔鄉****,08-7*****,
5,徐慶煌,109年立法委員選舉,首次申報,1080614,宣傳支出,志勝企業社,36896109,0.00,20000.00,製作競選物品支出（便條紙和面紙）,金錢,屏東縣內埔鄉****,08-7*****,
6,徐慶煌,109年立法委員選舉,首次申報,1080618,租用宣傳車輛支出,TAIKOOMOTORS,10476320,0.00,27551.00,維修宣傳車輛支出,金錢,高雄市鳳山區****,07-7*****,
7,徐慶煌,109年立法委員選舉,首次申報,1080625,宣傳支出,志勝企業社,36896109,0.00,20000.00,製作競選物品支出,金錢,屏東縣內埔鄉****,08-7*****,
8,徐慶煌,109年立法委員選舉,首次申報,1080706,交通旅運支出,台灣高鐵,16446274,0.00,1490.00,搭乘交通工具支出,金錢,高雄市左營區****,,
9,徐慶煌,109年立法委員選舉,首次申報,1080706,交通旅運支出,台灣高鐵,16446274,0.00,1490.00,搭乘交通工具支出,金錢,高雄市左營區****,,
10,徐慶煌,109年立法委員選舉,首次申報,1080709,宣傳支出,志勝企業社,36896109,0.00,20000.00,製作競選物品支出（便條紙和面紙）,金錢,屏東縣內埔鄉****,08-7*****,
11,徐慶煌,109年立法委員選舉,首次申報,1080722,宣傳支出,創兆整合行銷有限公司,29010219,0.00,94284.00,製作宣傳廣告支出,金錢,高雄市三民區****,0980*****,
12,徐慶煌,109年立法委員選舉,首次申報,1080723,宣傳支出,志勝企業社,36896109,0.00,20000.00,製作競選物品支出,金錢,屏東縣內埔鄉****,08-7*****,
13,徐慶煌,109年立法委員選舉,首次申報,1080726,雜支支出,三和成食品股份有限公司,90017609,0.00,6080.00,餐飲費用,金錢,屏東縣內埔鄉****,08-7*****,
14,徐慶煌,109年立法委員選舉,首次申報,1080805,租用宣傳車輛支出,匯豐汽車股份有限公司,93970699,0.00,3400.00,維修宣傳車輛支出,金錢,高雄市鳳山區****,07-7*****,
15,徐慶煌,109年立法委員選舉,首次申報,1080810,宣傳支出,志勝企業社,36896109,0.00,12000.00,製作競選物品支出,金錢,屏東縣內埔鄉****,08-7*****,
16,徐慶煌,109年立法委員選舉,首次申報,1080810,宣傳支出,優逸文創企業社,69825751,0.00,950000.00,製作宣傳廣告支出,金錢,高雄市三民區****,07-2*****,
17,徐慶煌,109年立法委員選舉,首次申報,1080816,宣傳支出,志勝企業社,36896109,0.00,20000.00,製作競選物品支出（便條紙和面紙）,金錢,屏東縣內埔鄉****,08-7*****,
18,徐慶煌,109年立法委員選舉,首次申報,1080822,雜支支出,三和成食品股份有限公司,90017609,0.00,36500.00,餐飲費用,金錢,屏東縣內埔鄉****,08-7*****,
19,徐慶煌,109年立法委員選舉,首次申報,1080827,宣傳支出,志勝企業社,36896109,0.00,16800.00,製作競選物品支出,金錢,屏東縣內埔鄉****,08-7*****,
20,徐慶煌,109年立法委員選舉,首次申報,1080902,雜支支出,三和成食品股份有限公司,90017609,0.00,45300.00,餐飲費用,金錢,屏東縣內埔鄉****,08-7*****,
21,徐慶煌,109年立法委員選舉,首次申報,1080903,宣傳支出,志勝企業社,36896109,0.00,13500.00,製作競選物品支出,金錢,屏東縣內埔鄉****,08-7*****,
22,徐慶煌,109年立法委員選舉,首次申報,1080903,雜支支出,三和成食品股份有限公司,90017609,0.00,50000.00,餐飲費用,金錢,屏東縣內埔鄉****,08-7*****,
23,徐慶煌,109年立法委員選舉,首次申報,1080915,交通旅運支出,台灣高鐵,16446274,0.00,2890.00,搭乘交通工具支出,金錢,高雄市左營區****,,
24,徐慶煌,109年立法委員選舉,首次申報,1080916,交通旅運支出,台灣高鐵,16446274,0.00,2580.00,搭乘交通工具支出,金錢,高雄市左營區****,,
25,徐慶煌,109年立法委員選舉,首次申報,1080917,宣傳支出,志勝企業社,36896109,0.00,20000.00,製作競選物品支出（便條紙和面紙）,金錢,屏東縣內埔鄉****,08-7*****,
26,徐慶煌,109年立法委員選舉,首次申報,1080930,宣傳支出,志勝企業社,36896109,0.00,9000.00,製作競選物品支出,金錢,屏東縣內埔鄉****,08-7*****,
27,徐慶煌,109年立法委員選舉,首次申報,1080930,租用宣傳車輛支出,匯豐汽車股份有限公司,93970699,0.00,52478.00,維修宣傳車輛支出,金錢,高雄市鳳山區****,07-7*****,
28,徐慶煌,109年立法委員選舉,首次申報,1081004,宣傳支出,志勝企業社,36896109,0.00,20000.00,製作競選物品支出（便條紙和面紙）,金錢,屏東縣內埔鄉****,08-7*****,
29,徐慶煌,109年立法委員選舉,首次申報,1081004,租用宣傳車輛支出,匯豐汽車股份有限公司,93970699,0.00,3012.00,維修宣傳車輛支出,金錢,高雄市鳳山區****,07-7*****,
30,徐慶煌,109年立法委員選舉,首次申報,1081005,宣傳支出,創兆整合行銷有限公司,29010219,0.00,291920.00,製作宣傳廣告支出,金錢,高雄市三民區****,0980*****,
31,徐慶煌,109年立法委員選舉,首次申報,1081008,交通旅運支出,台灣高鐵,16446274,0.00,2935.00,搭乘交通工具支出,金錢,高雄市左營區****,,
32,徐慶煌,109年立法委員選舉,首次申報,1081015,宣傳支出,祉樂工作室,36926384,0.00,18850.00,郵寄競選物品或宣傳廣告支出,金錢,高雄市大樹區****,07-7*****,
33,徐慶煌,109年立法委員選舉,首次申報,1081018,宣傳支出,志勝企業社,36896109,0.00,20000.00,製作競選物品支出,金錢,屏東縣內埔鄉****,08-7*****,
34,徐慶煌,109年立法委員選舉,首次申報,1081019,交通旅運支出,台灣高鐵,16446274,0.00,2660.00,搭乘交通工具支出,金錢,高雄市左營區****,,
35,徐慶煌,109年立法委員選舉,首次申報,1081019,雜支支出,千輝自助餐廳,84062057,0.00,8000.00,餐飲費用,金錢,,07-7*****,
36,徐慶煌,109年立法委員選舉,首次申報,1081020,交通旅運支出,台灣高鐵,16446274,0.00,2660.00,搭乘交通工具支出,金錢,高雄市左營區****,,
37,徐慶煌,109年立法委員選舉,首次申報,1081020,雜支支出,千輝自助餐廳,84062057,0.00,8000.00,餐飲費用,金錢,,07-7*****,
38,徐慶煌,109年立法委員選舉,首次申報,1081021,交通旅運支出,台灣高鐵,16446274,0.00,2660.00,搭乘交通工具支出,金錢,高雄市左營區****,,
39,徐慶煌,109年立法委員選舉,首次申報,1081022,租用競選辦事處支出,統一超商股份有限公司,22555003,0.00,15000.00,租用競選辦事處費用,金錢,臺北市信義區****,02-2*****,
40,徐慶煌,109年立法委員選舉,首次申報,1081026,雜支支出,千輝自助餐廳,84062057,0.00,8000.00,餐飲費用,金錢,,07-7*****,
41,徐慶煌,109年立法委員選舉,首次申報,1081027,宣傳支出,志勝企業社,36896109,0.00,10900.00,製作競選物品支出,金錢,屏東縣內埔鄉****,08-7*****,
42,徐慶煌,109年立法委員選舉,首次申報,1081027,雜支支出,千輝自助餐廳,84062057,0.00,8000.00,餐飲費用,金錢,,07-7*****,
