序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,鍾沛君,111年臺北市議員選舉,第1次賸餘,1111227,支付當選後與其公務有關之費用,計程車,,0.00,120.00,,,,搭乘交通工具費用,金錢,,658-*****,否,,,,,,,
2,鍾沛君,111年臺北市議員選舉,第1次賸餘,1111227,支付當選後與其公務有關之費用,安居茶坊,76472514,0.00,225.00,,,,餐飲費用,金錢,臺北市大安區****,,否,,,,,,,
3,鍾沛君,111年臺北市議員選舉,第1次賸餘,1111228,支付當選後與其公務有關之費用,鴻霖商店,12212633,0.00,2500.00,,,,聯誼交際費用,金錢,臺北市中山區****,02-2*****,否,,,,,,,
4,鍾沛君,111年臺北市議員選舉,第1次賸餘,1111228,支付當選後與其公務有關之費用,鴻霖商店,12212633,0.00,3500.00,,,,聯誼交際費用,金錢,臺北市中山區****,02-2*****,否,,,,,,,
5,鍾沛君,111年臺北市議員選舉,第1次賸餘,1111228,支付當選後與其公務有關之費用,鴻霖商店,12212633,0.00,2500.00,,,,聯誼交際費用,金錢,臺北市中山區****,02-2*****,否,,,,,,,
6,鍾沛君,111年臺北市議員選舉,第1次賸餘,1111228,支付當選後與其公務有關之費用,巧巧生活事業有限公司大都市停車場,94906648,0.00,90.00,,,,停車費,金錢,臺北市中正區****,,否,,,,,,,
7,鍾沛君,111年臺北市議員選舉,第1次賸餘,1111229,支付當選後與其公務有關之費用,計程車,,0.00,310.00,,,,搭乘交通工具費用,金錢,,TDU3*****,否,,,,,,,
8,鍾沛君,111年臺北市議員選舉,第1次賸餘,1111230,支付當選後與其公務有關之費用,台灣聯通停車場開發股份有限公司醒吾停車場,26286304,0.00,75.00,,,,停車費,金錢,臺北市中正區****,,否,,,,,,,
9,鍾沛君,111年臺北市議員選舉,第1次賸餘,1111230,支付當選後與其公務有關之費用,老行家國際燕窩股份有限公司忠孝旗艦門市部,42404525,0.00,8140.00,,,,聯誼交際費用,金錢,臺北市大安區****,,否,,,,,,,
10,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120102,支付當選後與其公務有關之費用,台灣中油股份有限公司油品行銷事業部台中營業處清水服務區加油站,99369230,0.00,1508.00,,,,油資,金錢,臺中市清水區****,,否,,,,,,,
11,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120103,支付當選後與其公務有關之費用,鴻霖商店,12212633,0.00,4500.00,,,,聯誼交際費用,金錢,臺北市中山區****,02-2*****,否,,,,,,,
12,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120103,支付當選後與其公務有關之費用,鴻霖商店,12212633,0.00,5000.00,,,,聯誼交際費用,金錢,臺北市中山區****,02-2*****,否,,,,,,,
13,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120103,支付當選後與其公務有關之費用,龍洋膠業有限公司,22633789,0.00,5220.00,,,,文具用品費用,金錢,臺北市太原路****,,否,,,,,,,
14,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120104,支付當選後與其公務有關之費用,聖鷹科技有限公司,23734080,0.00,8925.00,,,,製作競選物品或宣傳廣告費用（物品名稱-春聯印刷）,金錢,臺北市信義區****,,否,,,,,,,
15,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120104,支付當選後與其公務有關之費用,助安企業有限公司華視五停車場,42478552,0.00,50.00,,,,停車費,金錢,臺北市大安區****,,否,,,,,,,
16,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120104,支付當選後與其公務有關之費用,百里亭有限公司忠孝停車場,88340692,0.00,80.00,,,,停車費,金錢,臺北市大安區****,,否,,,,,,,
17,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120105,參加公職人員選舉使用支出,吉廣來印刷有限公司,27620762,0.00,525.00,,,,製作競選物品或宣傳廣告費用（物品名稱-看板拆除費用）,金錢,新北市鶯歌區****,,否,,,,,,,
18,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120105,參加公職人員選舉使用支出,吉人影像有限公司,82823658,0.00,800000.00,,,,其他與選舉宣傳有關之費用,金錢,臺北市松山區****,,否,,,,,,,
19,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120106,支付當選後與其公務有關之費用,車容坊股份有限公司,30178550,0.00,938.00,,,,油資,金錢,新北市林口區****,,否,,,,,,,
20,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120107,支付當選後與其公務有關之費用,新展實業有限公司,23010634,0.00,9450.00,,,,製作競選物品或宣傳廣告費用（春節送禮用包裝-保冷袋）,金錢,臺北市士林區****,,否,,,,,,,
21,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120107,支付當選後與其公務有關之費用,俥亭停車事業股份有限公司內湖新湖營業所,73671552,0.00,100.00,,,,停車費,金錢,臺北市內湖區****,,否,,,,,,,
22,鍾沛君,111年臺北市議員選舉,第1次賸餘,1120109,支付當選後與其公務有關之費用,台灣中油股份有限公司(台北營業處信義路),01802160,0.00,1455.00,,,,油資,金錢,臺北市大安區****,,否,,,,,,,
