序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,何淑萍,111年基隆市議員選舉,首次申報,1110731,集會支出,鑫隆商行,80886451,0.00,4992.00,,,,餐飲費用,金錢,基隆市安樂區****,0224*****,否,,,,,,,
2,何淑萍,111年基隆市議員選舉,首次申報,1110801,宣傳支出,林少烽,,0.00,23200.00,,,,租用廣告看板或車體廣告費用,金錢,基隆市信義區****,0953*****,否,,,,,,,
3,何淑萍,111年基隆市議員選舉,首次申報,1110801,宣傳支出,蕭秀叔,,0.00,8000.00,,,,租用廣告看板或車體廣告費用,金錢,基隆市信義區****,,否,,,,,,,
4,何淑萍,111年基隆市議員選舉,首次申報,1110801,宣傳支出,林翠玲,,0.00,24000.00,,,,租用廣告看板或車體廣告費用,金錢,基隆市信義區****,0926*****,否,,,,,,,
5,何淑萍,111年基隆市議員選舉,首次申報,1110812,租用競選辦事處支出,白志隆,,0.00,17500.00,,,,其他與租用競選辦事處有關之費用,金錢,基隆市信義區****,0938*****,否,,,,,,,
6,何淑萍,111年基隆市議員選舉,首次申報,1110815,宣傳支出,潤聖新創有限公司,90594616,0.00,91613.00,,,,製作競選物品或宣傳廣告費用（面紙）,金錢,基隆市中山區****,0224*****,否,,,,,,,
7,何淑萍,111年基隆市議員選舉,首次申報,1110819,雜支支出,台灣精臣科技有限公司,83489580,0.00,1450.00,,,,文具用品費用,金錢,桃園市桃園區****,0333*****,否,,,,,,,
8,何淑萍,111年基隆市議員選舉,首次申報,1110823,雜支支出,寶頤文具有限公司,53640618,0.00,570.00,,,,文具用品費用,金錢,基隆市仁愛區****,0224*****,否,,,,,,,
9,何淑萍,111年基隆市議員選舉,首次申報,1110826,集會支出,溫莎堡食品股份有限公司,23821660,0.00,28980.00,,,,餐飲費用,金錢,基隆市安樂區****,02-2*****,否,,,,,,,
10,何淑萍,111年基隆市議員選舉,首次申報,1110830,宣傳支出,大明工藝社,98099619,0.00,4500.00,,,,製作競選物品或宣傳廣告費用（彩色布條）,金錢,基隆市中正區****,,否,,,,,,,
11,何淑萍,111年基隆市議員選舉,首次申報,1110831,宣傳支出,東颀廣告設計印刷行,80877734,0.00,750.00,,,,製作競選物品或宣傳廣告費用（名片）,金錢,基隆市中正區****,0224*****,否,,,,,,,
12,何淑萍,111年基隆市議員選舉,首次申報,1110831,集會支出,鑫隆商行,80886451,0.00,13440.00,,,,餐飲費用,金錢,基隆市安樂區****,0224*****,否,,,,,,,
13,何淑萍,111年基隆市議員選舉,首次申報,1110901,雜支支出,台豐文教有限公司,53290990,0.00,128.00,,,,文具用品費用,金錢,基隆市仁愛區****,02-2*****,否,,,,,,,
14,何淑萍,111年基隆市議員選舉,首次申報,1110902,宣傳支出,臺大牙醫診所,82334650,0.00,18000.00,,,,租用廣告看板或車體廣告費用,金錢,基隆市信義區****,0224*****,否,,,,,,,
15,何淑萍,111年基隆市議員選舉,首次申報,1110903,雜支支出,光南大批發連鎖店,53618670,0.00,89.00,,,,雜項購置或修繕費用,金錢,基隆市仁愛區****,02-2*****,否,,,,,,,
16,何淑萍,111年基隆市議員選舉,首次申報,1110903,雜支支出,光南大批發連鎖店,53618670,0.00,321.00,,,,文具用品費用,金錢,基隆市仁愛區****,02-2*****,否,,,,,,,
17,何淑萍,111年基隆市議員選舉,首次申報,1110921,宣傳支出,大明工藝社,98099619,0.00,20000.00,,,,製作競選物品或宣傳廣告費用（帽子）,金錢,基隆市中正區****,,否,,,,,,,
18,何淑萍,111年基隆市議員選舉,首次申報,1110923,宣傳支出,潤嘉實業有限公司,27807773,0.00,94500.00,,,,製作競選物品或宣傳廣告費用（牙線棒盒）,金錢,新北市中和區****,,否,,,,,,,
19,何淑萍,111年基隆市議員選舉,首次申報,1110929,雜支支出,台豐文教有限公司,53290990,0.00,600.00,,,,文具用品費用,金錢,基隆市仁愛區****,02-2*****,否,,,,,,,
