序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110614,交通旅運支出,江卉冷熱飲店,09993825,0.00,121.00,,,,差旅膳宿費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
2,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110616,租用競選辦事處支出,世明印章藝品社,02431618,0.00,530.00,,,,其他與租用競選辦事處有關之費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
3,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110616,雜支支出,良森文具行,91140584,0.00,494.00,,,,文具用品費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
4,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110617,宣傳支出,藍格印刷國際企業有限公司,22076600,0.00,1838.00,,,,製作競選物品或宣傳廣告費用（物品名稱-貼紙）,金錢,臺北市內湖區****,,否,,,,,,,
5,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110622,交通旅運支出,江卉冷熱飲店,09993825,0.00,61.00,,,,差旅膳宿費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
6,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110623,雜支支出,好管家,31731207,0.00,145.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
7,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110626,集會支出,國泰世紀產物保險(股)公司,,0.00,2591.00,,,,其他與集會有關之費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
8,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110704,雜支支出,良森文具行,,0.00,247.00,,,,文具用品費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
9,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110705,宣傳支出,日新廣告社,02410091,0.00,33734.00,,,,租用廣告看板或車體廣告費用,金錢,宜蘭縣宜蘭市****,0393*****,否,,,,,,,
10,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110705,雜支支出,好管家,31731207,0.00,110.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
11,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110708,宣傳支出,藍格印刷國際企業有限公司,,0.00,1838.00,,,,製作競選物品或宣傳廣告費用（物品名稱-貼紙）,金錢,臺北市內湖區****,,否,,,,,,,
12,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110708,雜支支出,台灣中小企業銀行蘇澳分行,,0.00,30.00,,,,藍格印刷國際企業有限公司,金錢,宜蘭縣蘇澳鎮****,0393*****,否,,,,,,,
13,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110708,雜支支出,好管家蘇澳店,31731207,0.00,90.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
14,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110714,租用競選辦事處支出,天美企業社,70931148,0.00,500.00,,,,其他與租用競選辦事處有關之費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
15,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110715,宣傳支出,日新廣告社,02410091,0.00,5955.00,,,,租用廣告看板或車體廣告費用,金錢,宜蘭縣宜蘭市****,0393*****,否,,,,,,,
16,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110718,宣傳支出,中華郵政蘇澳郵局,,0.00,216.00,,,,郵寄競選物品或宣傳廣告費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
17,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110718,雜支支出,中華電信,,0.00,1292.00,,,,電信費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
18,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110721,雜支支出,台灣電力公司,,0.00,557.00,,,,水電瓦斯費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
19,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110721,雜支支出,好管家蘇澳店,31731207,0.00,75.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
20,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110725,宣傳支出,中華郵政蘇澳分行,,0.00,500.00,,,,郵寄競選物品或宣傳廣告費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
21,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110729,宣傳支出,中華郵政蘇澳份行,,0.00,528.00,,,,郵寄競選物品或宣傳廣告費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
22,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110729,雜支支出,好管家蘇澳店,31731207,0.00,332.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
23,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110801,雜支支出,台灣中小企業銀行-蘇澳分行,,0.00,30.00,,,,日新廣告社之匯費,金錢,宜蘭縣蘇澳鎮****,0393*****,否,,,,,,,
24,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110802,宣傳支出,藍格印刷國際企業有限公司,,0.00,2216.00,,,,製作競選物品或宣傳廣告費用（物品名稱-貼紙）,金錢,臺北市內湖區****,,否,,,,,,,
25,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110802,雜支支出,台灣中小企業銀行蘇澳分行,,0.00,30.00,,,,藍格印刷國際企業有限公司之匯費,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
26,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110802,雜支支出,好管家,31731207,0.00,137.00,,,,文具用品費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
27,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110805,雜支支出,好管家,31731207,0.00,240.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,9964*****,否,,,,,,,
28,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110805,雜支支出,好管家,31731207,0.00,45.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,9964*****,否,,,,,,,
29,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110805,公共關係費用支出,上逸贈品行,99808316,0.00,3750.00,,,,文康活動費用,金錢,基隆市安樂區****,0224*****,否,,,,,,,
30,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110808,公共關係費用支出,宜蘭餅食品(有)發明館營業所,26111142,0.00,855.00,,,,為民服務費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
31,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110811,公共關係費用支出,六星禮儀用品社,49920996,0.00,9000.00,,,,為民服務費用,金錢,桃園市中壢區****,0343*****,否,,,,,,,
32,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110816,雜支支出,好管家蘇澳店,31731207,0.00,625.00,,,,餐飲費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
33,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110816,雜支支出,綠屋水果舖,49817304,0.00,570.00,,,,餐飲費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
34,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110817,雜支支出,中華電信,,0.00,1466.00,,,,電信費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
35,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110817,雜支支出,好管家蘇澳店,31731207,0.00,626.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
36,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110817,雜支支出,全聯福利中心-蘇澳中山分公司,51809505,0.00,202.00,,,,餐飲費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
37,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110824,雜支支出,燦坤3C,,0.00,500.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
38,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110824,雜支支出,燦坤3C,27233122,0.00,85.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
39,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110825,雜支支出,台灣中小企業銀行蘇澳分行,,0.00,30.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
40,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110825,宣傳支出,誠羽色彩創意有限公司,24209562,0.00,4988.00,,,,租用廣告看板或車體廣告費用,金錢,新北市新莊區****,0222*****,否,,,,,,,
41,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110826,雜支支出,一三五超市馬賽店,42586948,0.00,302.00,,,,餐飲費用,金錢,宜蘭縣蘇澳鎮****,9907*****,否,,,,,,,
42,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110831,集會支出,好管家蘇澳店,31731207,0.00,1495.00,,,,餐飲費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
43,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110831,集會支出,好管家蘇澳店,31731207,0.00,80.00,,,,其他與集會有關之費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
44,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110831,集會支出,宏順早餐坊,72624862,0.00,1800.00,,,,其他與集會有關之費用,金錢,宜蘭縣蘇澳鎮****,0937*****,否,,,,,,,
45,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110831,租用宣傳車輛支出,菁綻企業社,72809517,0.00,7000.00,,,,租用宣傳車輛費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
46,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110901,雜支支出,好管家蘇澳店,31731207,0.00,450.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
47,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110906,宣傳支出,蘇澳郵局宜蘭18支局,,0.00,80.00,,,,郵寄競選物品或宣傳廣告費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
48,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110907,雜支支出,台灣電力股份有限公司,,0.00,388.00,,,,水電瓦斯費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
49,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110907,公共關係費用支出,上逸贈品行,99808316,0.00,3750.00,,,,聯誼交際費用,金錢,基隆市安樂區****,0224*****,否,,,,,,,
50,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110912,雜支支出,金象堂印鎖店,19572491,0.00,30.00,,,,雜項購置或修繕費用,金錢,宜蘭縣宜蘭市****,0393*****,否,,,,,,,
51,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110913,雜支支出,中華電信,,0.00,1805.00,,,,電信費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
52,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110914,雜支支出,好管家蘇澳店,31731207,0.00,69.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
53,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110915,宣傳支出,中華郵政蘇澳郵局,,0.00,51.00,,,,郵寄競選物品或宣傳廣告費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
54,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110915,雜支支出,台灣中小企業銀行蘇澳分行,,0.00,30.00,,,,手續費,金錢,宜蘭縣蘇澳鎮****,0393*****,否,,,,,,,
55,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110915,宣傳支出,藍格印刷國際企業有限公司,22076600,0.00,3570.00,,,,製作競選物品或宣傳廣告費用（物品名稱-貼紙）,金錢,臺北市內湖區****,,否,,,,,,,
56,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110916,雜支支出,好管家蘇澳店,31731207,0.00,200.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
57,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110927,雜支支出,台灣電力公司,,0.00,496.00,,,,水電瓦斯費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
58,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110927,宣傳支出,瑋凱商行,09753846,0.00,1400.00,,,,製作競選物品或宣傳廣告費用（物品名稱-戰旗）,金錢,宜蘭縣宜蘭市****,0393*****,否,,,,,,,
59,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110927,雜支支出,好管家蘇澳店,31731207,0.00,144.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
60,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110927,雜支支出,良森文具行,91140584,0.00,440.00,,,,文具用品費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
61,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110927,雜支支出,良森文具行,91140584,0.00,200.00,,,,文具用品費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
62,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110927,雜支支出,良森文具行,91140584,0.00,2.00,,,,文具用品費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
63,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110928,雜支支出,良森文具行,91140584,0.00,85.00,,,,文具用品費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
64,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110929,雜支支出,燦坤實業股份有限公司蘇澳分公司,27233122,0.00,823.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
65,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110929,雜支支出,良森文具行,91140584,0.00,1788.00,,,,文具用品費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
66,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110930,宣傳支出,中華郵政蘇澳郵局,,0.00,5286.00,,,,郵寄競選物品或宣傳廣告費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
67,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1110930,雜支支出,口之味烘焙坊-蘇澳店,50714782,0.00,306.00,,,,餐飲費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
68,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111001,雜支支出,好管家蘇澳店,31731207,0.00,617.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
69,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111003,宣傳支出,中華郵政蘇澳郵局,,0.00,6618.00,,,,郵寄競選物品或宣傳廣告費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
70,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111003,宣傳支出,嗆斯廣告,13673752,0.00,4000.00,,,,其他與選舉宣傳有關之費用-派報,金錢,宜蘭縣宜蘭市****,0393*****,否,,,,,,,
71,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111005,宣傳支出,倡泰旗幟服飾工廠,67810850,0.00,13800.00,,,,製作競選物品或宣傳廣告費用（物品名稱-活動背心/帽子）,金錢,屏東縣枋寮鄉****,0887*****,否,,,,,,,
72,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111006,雜支支出,好管家蘇澳店,31731207,0.00,137.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
73,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111007,雜支支出,協發號,40618959,0.00,2220.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
74,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111007,雜支支出,85度c,50714782,0.00,595.00,,,,餐飲費用,金錢,宜蘭縣蘇澳鎮****,03 9*****,否,,,,,,,
75,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111007,雜支支出,世昌菓菜行,67903695,0.00,6800.00,,,,雜項購置或修繕費用,金錢,宜蘭縣員山鄉****,0393*****,否,,,,,,,
76,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111007,宣傳支出,設采廣告,82193981,0.00,500.00,,,,製作競選物品或宣傳廣告費用（物品名稱-肩帶）,金錢,宜蘭市宜興路****,0932*****,否,,,,,,,
77,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111008,雜支支出,好管家蘇澳店,31731207,0.00,329.00,,,,文具用品費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
78,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111008,雜支支出,良森文具行,91140584,0.00,570.00,,,,文具用品費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
79,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111009,雜支支出,好管家蘇澳店,31731207,0.00,1374.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
80,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111009,公共關係費用支出,就是單車生活館,34788978,0.00,3100.00,,,,文康活動費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
81,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111009,雜支支出,果山行,41634513,0.00,2400.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
82,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111009,雜支支出,世昌菓菜行,67903695,0.00,920.00,,,,雜項購置或修繕費用,金錢,宜蘭縣員山鄉****,0393*****,否,,,,,,,
83,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111010,雜支支出,阿娟小吃店,10549626,0.00,13620.00,,,,餐飲費用,金錢,宜蘭縣蘇澳鎮****,0928*****,否,,,,,,,
84,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111010,雜支支出,阿娟小吃店,10549626,0.00,3520.00,,,,餐飲費用,金錢,宜蘭縣蘇澳鎮****,0928*****,否,,,,,,,
85,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111010,雜支支出,喜互惠生鮮超市,12632348,0.00,2043.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
86,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111010,雜支支出,好管家蘇澳店,31731207,0.00,180.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
87,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111010,雜支支出,果山行,41634513,0.00,2400.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮蘇北里****,0399*****,否,,,,,,,
88,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111010,雜支支出,果山行,41634513,0.00,7200.00,,,,雜項購置或修繕費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
89,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111011,雜支支出,好管家蘇澳店,31731207,0.00,534.00,,,,雜項購置或修繕費用,金錢,蘇澳鎮中山路****,0399*****,否,,,,,,,
90,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111011,雜支支出,綠屋水果舖,49817304,0.00,650.00,,,,餐飲費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
91,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111013,宣傳支出,中華郵政蘇澳郵局,,0.00,96.00,,,,郵寄競選物品或宣傳廣告費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
92,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111014,雜支支出,中華電信,,0.00,341.00,,,,電信費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
93,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111014,雜支支出,中華電信,,0.00,1077.00,,,,電信費用,金錢,宜蘭縣蘇澳鎮****,,否,,,,,,,
94,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111014,雜支支出,宜農牧羊場,30261086,0.00,100.00,,,,雜項購置或修繕費用,金錢,宜蘭縣冬山鄉****,03 9*****,否,,,,,,,
95,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111014,宣傳支出,廣文堂印舖,40316407,0.00,900.00,,,,其他與選舉宣傳有關之費用,金錢,宜蘭市中山路****,0393*****,否,,,,,,,
96,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111014,雜支支出,欣安金紙行,72811871,0.00,200.00,,,,雜項購置或修繕費用,金錢,宜蘭縣員山鄉****,9233*****,否,,,,,,,
97,簡銘翔,111年宜蘭縣蘇澳鎮鎮長選舉,首次申報,1111015,雜支支出,好事達股份有限公司,12632348,0.00,27600.00,,,,餐飲費用,金錢,宜蘭縣蘇澳鎮****,0399*****,否,,,,,,,
