序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110824,雜支支出,世界甜蔬果行,91128619,0.00,700.00,,,,水果,金錢,,,否,,,,,,,
2,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110830,人事費用支出,知日影像工作室,87454730,0.00,45000.00,,,,文宣攝影,金錢,新竹市北區舊****,,否,,,,,,,
3,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110901,宣傳支出,熱情企劃社,,0.00,6000.00,,,,製作競選物品或宣傳廣告費用（氣球文宣品）,金錢,嘉義縣朴子市****,,否,,,,,,,
4,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110901,宣傳支出,熱情企劃社,,0.00,12000.00,,,,活動用-爆米花機,金錢,嘉義縣朴子市****,,否,,,,,,,
5,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110902,雜支支出,錦泰茶葉股份有限公司,,0.00,4000.00,,,,宣傳照場地費,金錢,新竹縣關西鎮****,,否,,,,,,,
6,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110902,雜支支出,世界甜蔬果行,91128619,0.00,500.00,,,,水果,金錢,,,否,,,,,,,
7,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110905,雜支支出,竺園素食,,0.00,185.00,,,,餐費,金錢,,03-5*****,否,,,,,,,
8,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110905,雜支支出,七堵(博)藥膳排骨,,0.00,230.00,,,,餐費,金錢,,03-5*****,否,,,,,,,
9,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110906,雜支支出,佬鄉牛肉麵.水餃.滷味,,0.00,180.00,,,,餐費,金錢,新竹縣關西鎮****,03-5*****,否,,,,,,,
10,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110907,雜支支出,盛良水電行,,0.00,395.00,,,,水電材料,金錢,新竹縣關西鎮****,,否,,,,,,,
11,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110907,宣傳支出,熱情企劃社,,0.00,4300.00,,,,氣球文宣品,金錢,嘉義縣朴子市****,,否,,,,,,,
12,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110907,宣傳支出,思齊科技有限公司,24720660,0.00,38600.00,,,,助選人員T恤,金錢,新北市林口區****,,否,,,,,,,
13,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110908,雜支支出,藍星自助餐館,,0.00,210.00,,,,餐費,金錢,,03-5*****,否,,,,,,,
14,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110908,雜支支出,香港雞蛋仔,,0.00,400.00,,,,餐費,金錢,,0955*****,否,,,,,,,
15,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110909,雜支支出,聯合大藥局,,0.00,220.00,,,,潤喉糖,金錢,新竹縣關西鎮****,,否,,,,,,,
16,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110912,雜支支出,錦珍香,,0.00,40.00,,,,清潔布,金錢,,03-5*****,否,,,,,,,
17,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110912,雜支支出,錦大行,47197341,0.00,1222.00,,,,五金料件,金錢,,,否,,,,,,,
18,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110912,雜支支出,錦大行,47197341,0.00,594.00,,,,五金料件,金錢,,,否,,,,,,,
19,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110913,雜支支出,勝豐書局,,0.00,736.00,,,,文具,金錢,,03-5*****,否,,,,,,,
20,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110913,雜支支出,貝蕾客商行,,0.00,105.00,,,,餐費,金錢,新竹縣關西鎮****,,否,,,,,,,
21,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110913,雜支支出,關西關西第一停車場,,0.00,70.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
22,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110913,雜支支出,梁社漢排骨飯,91906237,0.00,115.00,,,,餐費,金錢,,,否,,,,,,,
23,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110914,雜支支出,關西第一停車場,,0.00,30.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
24,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110914,雜支支出,新遠東代工刻印,,0.00,200.00,,,,印章,金錢,新竹縣關西鎮****,,否,,,,,,,
25,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110914,雜支支出,關西關西第一停車場,,0.00,110.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
26,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110914,雜支支出,關西關西第一停車場,,0.00,190.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
27,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110915,雜支支出,品好鍋貼,,0.00,234.00,,,,餐費,金錢,新竹縣關西鎮****,,否,,,,,,,
28,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110915,雜支支出,關西第一停車場,,0.00,110.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
29,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110916,雜支支出,關西第一停車場,,0.00,100.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
30,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110916,雜支支出,關西第一停車場,,0.00,20.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
31,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110916,雜支支出,逸興飲食店,,0.00,160.00,,,,餐費,金錢,新竹縣關西鎮****,,否,,,,,,,
32,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110916,宣傳支出,巧馨企業社,,0.00,15000.00,,,,助選人員背心,金錢,新竹縣竹北市****,,否,,,,,,,
33,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110916,雜支支出,關西關西第一停車場,,0.00,50.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
34,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110917,雜支支出,錦珍香,,0.00,240.00,,,,小水,金錢,,03-5*****,否,,,,,,,
35,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110917,雜支支出,關西第一停車場,,0.00,50.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
36,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110917,雜支支出,關西第一停車場,,0.00,120.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
37,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110917,雜支支出,萃英飲食店,67991199,0.00,430.00,,,,餐費,金錢,,,否,,,,,,,
38,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110918,雜支支出,關西關西第一停車場,,0.00,30.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
39,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110918,雜支支出,熱門水果行,,0.00,260.00,,,,水果,金錢,新竹縣關西鎮****,,否,,,,,,,
40,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110918,雜支支出,勝豐書局,,0.00,200.00,,,,文具,金錢,,03-5*****,否,,,,,,,
41,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110918,雜支支出,勝豐書局,,0.00,192.00,,,,文具,金錢,,03-5*****,否,,,,,,,
42,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110918,雜支支出,關西第一停車場,,0.00,100.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
43,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110918,雜支支出,關西第一停車場,,0.00,90.00,,,,停車費,金錢,新竹縣關西鎮****,,否,,,,,,,
44,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110918,雜支支出,錦大行,47197341,0.00,135.00,,,,五金料件,金錢,,,否,,,,,,,
45,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110918,雜支支出,生活大管家五金百貨行,87339562,0.00,49.00,,,,電池,金錢,,,否,,,,,,,
46,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110918,雜支支出,生活大管家五金百貨行,87339562,0.00,49.00,,,,膠台,金錢,,,否,,,,,,,
47,曾綉雅,111年新竹縣關西鎮鎮長選舉,首次申報,1110918,雜支支出,梁社漢排骨飯,91906237,0.00,95.00,,,,餐費,金錢,,,否,,,,,,,
