序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,陳癸佑,113年立法委員選舉,首次申報,1120915,宣傳支出,亨利企業社,26891013,0.00,8800.00,,,,其他與選舉宣傳有關之費用,金錢,南投縣竹山鎮****,,否,,,,,,,
2,陳癸佑,113年立法委員選舉,首次申報,1120921,租用宣傳車輛支出,明潭加油站,89564558,0.00,1053.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
3,陳癸佑,113年立法委員選舉,首次申報,1120923,租用宣傳車輛支出,台灣中油鹿谷加油站,61872203,0.00,1000.00,,,,宣傳車輛燃料費用,金錢,南投縣鹿谷鄉****,,否,,,,,,,
4,陳癸佑,113年立法委員選舉,首次申報,1120924,租用宣傳車輛支出,明潭加油站,89564558,0.00,1140.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
5,陳癸佑,113年立法委員選舉,首次申報,1120926,宣傳支出,非凡廣告設計工程,09249143,0.00,50000.00,,,,製作競選物品或宣傳廣告費用,金錢,南投縣竹山鎮****,,否,,,,,,,
6,陳癸佑,113年立法委員選舉,首次申報,1120927,租用宣傳車輛支出,集鹿加油站,16561581,0.00,940.00,,,,宣傳車輛燃料費用,金錢,南投縣集集鎮****,,否,,,,,,,
7,陳癸佑,113年立法委員選舉,首次申報,1120928,租用宣傳車輛支出,通丞加油站,89360999,0.00,880.00,,,,宣傳車輛燃料費用,金錢,南投縣南投市****,,否,,,,,,,
8,陳癸佑,113年立法委員選舉,首次申報,1121003,租用宣傳車輛支出,陞泰加油站,16204711,0.00,880.00,,,,宣傳車輛燃料費用,金錢,南投縣竹山鎮****,,否,,,,,,,
9,陳癸佑,113年立法委員選舉,首次申報,1121003,租用宣傳車輛支出,台灣中油鹿谷加油站,61872203,0.00,1000.00,,,,宣傳車輛燃料費用,金錢,南投縣鹿谷鄉****,,否,,,,,,,
10,陳癸佑,113年立法委員選舉,首次申報,1121007,租用宣傳車輛支出,陞泰加油站,16204711,0.00,1030.00,,,,宣傳車輛燃料費用,金錢,南投縣竹山鎮****,,否,,,,,,,
11,陳癸佑,113年立法委員選舉,首次申報,1121009,租用宣傳車輛支出,森竹加油站,16915450,0.00,1000.00,,,,宣傳車輛燃料費用,金錢,南投縣竹山鎮****,,否,,,,,,,
12,陳癸佑,113年立法委員選舉,首次申報,1121011,租用宣傳車輛支出,新集集加油站,13042670,0.00,1080.00,,,,宣傳車輛燃料費用,金錢,南投縣集集鎮****,,否,,,,,,,
13,陳癸佑,113年立法委員選舉,首次申報,1121014,租用宣傳車輛支出,南光加油站,84672804,0.00,800.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
14,陳癸佑,113年立法委員選舉,首次申報,1121016,宣傳支出,皇家美術燈社,61774076,0.00,8000.00,,,,其他與選舉宣傳有關之費用,金錢,南投縣南投市****,,否,,,,,,,
15,陳癸佑,113年立法委員選舉,首次申報,1121016,租用宣傳車輛支出,福懋加油站,99373277,0.00,966.00,,,,宣傳車輛燃料費用,金錢,南投縣名間鄉****,,否,,,,,,,
16,陳癸佑,113年立法委員選舉,首次申報,1121019,租用宣傳車輛支出,南光加油站,84672804,0.00,800.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
17,陳癸佑,113年立法委員選舉,首次申報,1121020,租用宣傳車輛支出,台灣中油,61041502,0.00,1140.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
18,陳癸佑,113年立法委員選舉,首次申報,1121022,租用宣傳車輛支出,福懋加油站,18132989,0.00,1229.00,,,,宣傳車輛燃料費用,金錢,南投縣南投市****,,否,,,,,,,
19,陳癸佑,113年立法委員選舉,首次申報,1121023,租用宣傳車輛支出,明潭加油站,89564558,0.00,960.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
20,陳癸佑,113年立法委員選舉,首次申報,1121025,租用宣傳車輛支出,南光加油站,84672804,0.00,800.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
21,陳癸佑,113年立法委員選舉,首次申報,1121027,租用宣傳車輛支出,舒爽實業有限公司,,0.00,700.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
22,陳癸佑,113年立法委員選舉,首次申報,1121028,租用宣傳車輛支出,福懋加油站,18132989,0.00,1102.00,,,,宣傳車輛燃料費用,金錢,南投縣南投市****,,否,,,,,,,
23,陳癸佑,113年立法委員選舉,首次申報,1121030,租用宣傳車輛支出,台灣中油,61041502,0.00,1020.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
24,陳癸佑,113年立法委員選舉,首次申報,1121101,租用宣傳車輛支出,台灣中油南投加油站,61043121,0.00,870.00,,,,宣傳車輛燃料費用,金錢,南投縣南投市****,,否,,,,,,,
25,陳癸佑,113年立法委員選舉,首次申報,1121102,宣傳支出,非凡廣告設計工程,09249143,0.00,60000.00,,,,製作競選物品或宣傳廣告費用,金錢,南投縣竹山鎮****,,否,,,,,,,
26,陳癸佑,113年立法委員選舉,首次申報,1121104,租用宣傳車輛支出,陞泰加油站,16204711,0.00,950.00,,,,宣傳車輛燃料費用,金錢,南投縣竹山鎮****,,否,,,,,,,
27,陳癸佑,113年立法委員選舉,首次申報,1121107,租用宣傳車輛支出,福懋加油站,18132989,0.00,1000.00,,,,宣傳車輛燃料費用,金錢,南投縣南投市****,,否,,,,,,,
28,陳癸佑,113年立法委員選舉,首次申報,1121107,租用宣傳車輛支出,通丞加油站,89360999,0.00,870.00,,,,宣傳車輛燃料費用,金錢,南投縣南投市****,,否,,,,,,,
29,陳癸佑,113年立法委員選舉,首次申報,1121110,宣傳支出,非凡廣告設計工程,09249143,0.00,10000.00,,,,製作競選物品或宣傳廣告費用,金錢,南投縣竹山鎮****,,否,,,,,,,
30,陳癸佑,113年立法委員選舉,首次申報,1121110,租用宣傳車輛支出,南光加油站,84672804,0.00,800.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
31,陳癸佑,113年立法委員選舉,首次申報,1121114,租用宣傳車輛支出,南光加油站,84672804,0.00,971.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
32,陳癸佑,113年立法委員選舉,首次申報,1121114,租用宣傳車輛支出,明潭加油站,89564558,0.00,1065.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
33,陳癸佑,113年立法委員選舉,首次申報,1121118,租用宣傳車輛支出,森竹加油站,16915450,0.00,950.00,,,,宣傳車輛燃料費用,金錢,南投縣竹山鎮****,,否,,,,,,,
34,陳癸佑,113年立法委員選舉,首次申報,1121123,租用宣傳車輛支出,舒爽實業有限公司,,0.00,970.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
35,陳癸佑,113年立法委員選舉,首次申報,1121128,租用宣傳車輛支出,台灣中油,61041502,0.00,1043.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
36,陳癸佑,113年立法委員選舉,首次申報,1121128,租用宣傳車輛支出,明潭加油站,89564558,0.00,980.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
37,陳癸佑,113年立法委員選舉,首次申報,1121130,租用宣傳車輛支出,通丞加油站,89360999,0.00,820.00,,,,宣傳車輛燃料費用,金錢,南投縣南投市****,,否,,,,,,,
38,陳癸佑,113年立法委員選舉,首次申報,1121202,租用宣傳車輛支出,舒爽實業有限公司,,0.00,1010.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
39,陳癸佑,113年立法委員選舉,首次申報,1121205,宣傳支出,非凡廣告設計工程,09249143,0.00,60000.00,,,,製作競選物品或宣傳廣告費用,金錢,南投縣竹山鎮****,,否,,,,,,,
40,陳癸佑,113年立法委員選舉,首次申報,1121206,租用宣傳車輛支出,舒爽實業有限公司,,0.00,876.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
41,陳癸佑,113年立法委員選舉,首次申報,1121208,租用宣傳車輛支出,南光加油站,84672804,0.00,500.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
42,陳癸佑,113年立法委員選舉,首次申報,1121208,租用宣傳車輛支出,南光加油站,84672804,0.00,639.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
43,陳癸佑,113年立法委員選舉,首次申報,1121209,宣傳支出,全國電子,54370556,0.00,1792.00,,,,其他與選舉宣傳有關之費用,金錢,南投縣水里鄉****,,否,,,,,,,
44,陳癸佑,113年立法委員選舉,首次申報,1121210,集會支出,信福糖菓行,61761190,0.00,9500.00,,,,餐飲費用,金錢,南投縣水里鄉****,,否,,,,,,,
45,陳癸佑,113年立法委員選舉,首次申報,1121212,租用宣傳車輛支出,舒爽實業有限公司,,0.00,970.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
46,陳癸佑,113年立法委員選舉,首次申報,1121212,租用宣傳車輛支出,明潭加油站,89564558,0.00,1100.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
47,陳癸佑,113年立法委員選舉,首次申報,1121216,租用宣傳車輛支出,森竹加油站,16915450,0.00,1000.00,,,,宣傳車輛燃料費用,金錢,南投縣竹山鎮****,,否,,,,,,,
48,陳癸佑,113年立法委員選舉,首次申報,1121221,租用宣傳車輛支出,舒爽實業有限公司,,0.00,991.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
49,陳癸佑,113年立法委員選舉,首次申報,1121222,租用宣傳車輛支出,南光加油站,84672804,0.00,970.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
50,陳癸佑,113年立法委員選舉,首次申報,1121226,交通旅運支出,新集集加油站,,0.00,1075.00,,,,油資,金錢,南投縣集集鎮****,,否,,,,,,,
51,陳癸佑,113年立法委員選舉,首次申報,1121227,租用宣傳車輛支出,舒爽實業有限公司,,0.00,960.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
52,陳癸佑,113年立法委員選舉,首次申報,1130101,租用宣傳車輛支出,台灣中油,61872203,0.00,922.00,,,,宣傳車輛燃料費用,金錢,南投縣鹿谷鄉****,,否,,,,,,,
53,陳癸佑,113年立法委員選舉,首次申報,1130110,租用宣傳車輛支出,舒爽實業有限公司,,0.00,473.00,,,,宣傳車輛燃料費用,金錢,南投縣水里鄉****,,否,,,,,,,
54,陳癸佑,113年立法委員選舉,首次申報,1130111,人事費用支出,邱新財,M12*******,0.00,240000.00,,,,工資或薪津,金錢,南投縣水里鄉****,,否,,,,,,,
