序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,捐贈方式,存入專戶日期,返還/繳庫,支出用途,金錢類,地址,聯絡電話,應揭露之支出對象,支出對象之內部人員姓名,支出對象之內部人員職稱,政黨之內部人員姓名,政黨之內部人員職稱,關係,更正註記,資料更正日期
1,范綱祥,113年立法委員選舉,首次申報,1120424,雜支支出,幸福張頂級手作,,0.00,1600.00,,,,餐飲費用,金錢,臺北市汐止區****,0986*****,否,,,,,,,
2,范綱祥,113年立法委員選舉,首次申報,1120425,雜支支出,統領百貨股份有限公司桃園分公司分公司,89402695,0.00,250.00,,,,餐飲費用,金錢,桃園市桃園區****,,否,,,,,,,
3,范綱祥,113年立法委員選舉,首次申報,1120426,宣傳支出,印象商圈電視牆股份有限公司,54780215,0.00,24000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,桃園市龜山區****,,否,,,,,,,
4,范綱祥,113年立法委員選舉,首次申報,1120426,宣傳支出,長頸鹿整合行銷,61095534,0.00,30000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,臺中市北區永****,,否,,,,,,,
5,范綱祥,113年立法委員選舉,首次申報,1120426,交通旅運支出,全宏加油站股份有限公司,85313741,0.00,700.00,,,,油資,金錢,桃園市桃園區****,,否,,,,,,,
6,范綱祥,113年立法委員選舉,首次申報,1120427,雜支支出,新光三越百貨公司,28433915,0.00,1006.00,,,,餐飲費用,金錢,桃園市桃園區****,,否,,,,,,,
7,范綱祥,113年立法委員選舉,首次申報,1120427,宣傳支出,大器廣告股份有限公司,53170974,0.00,30000.00,,,,播放、傳送或刊登宣傳廣告費用,金錢,桃園市桃園區****,,否,,,,,,,
8,范綱祥,113年立法委員選舉,首次申報,1120428,交通旅運支出,俥亭停車事業股份有限公司,91887484,0.00,7000.00,,,,停車費,金錢,桃園市桃園區****,,否,,,,,,,
9,范綱祥,113年立法委員選舉,首次申報,1120501,交通旅運支出,凱統企業股份有限公司,12548356,0.00,2280.00,,,,差旅膳宿費用,金錢,臺北市大安區****,,否,,,,,,,
10,范綱祥,113年立法委員選舉,首次申報,1120504,雜支支出,黛比美式餐點坊,30112827,0.00,1173.00,,,,餐飲費用,金錢,桃園市桃園區****,,否,,,,,,,
11,范綱祥,113年立法委員選舉,首次申報,1120504,宣傳支出,三竹資訊,86136982,0.00,16000.00,,,,發送電信簡訊費用,金錢,臺北市中山區****,,否,,,,,,,
12,范綱祥,113年立法委員選舉,首次申報,1120508,宣傳支出,集緻廣告社,29286813,0.00,101405.00,,,,租用廣告看板或車體廣告費用,金錢,桃園市桃園區****,0*****,否,,,,,,,
13,范綱祥,113年立法委員選舉,首次申報,1120508,宣傳支出,福康科技企業社,82029808,0.00,2195.00,,,,製作競選物品或宣傳廣告費用,金錢,桃園市桃園區****,,否,,,,,,,
14,范綱祥,113年立法委員選舉,首次申報,1120508,雜支支出,品食堂材料行,91295025,0.00,130.00,,,,餐飲費用,金錢,桃園市桃園區****,,否,,,,,,,
15,范綱祥,113年立法委員選舉,首次申報,1120510,雜支支出,饌朵朵烈日鬆餅,87397942,0.00,1996.00,,,,餐飲費用,金錢,桃園市桃園區****,,否,,,,,,,
16,范綱祥,113年立法委員選舉,首次申報,1120519,宣傳支出,福康科技企業社,82029808,0.00,650.00,,,,製作競選物品或宣傳廣告費用,金錢,桃園市桃園區****,,否,,,,,,,
17,范綱祥,113年立法委員選舉,首次申報,1120524,宣傳支出,新美企業社,,0.00,21128.00,,,,其他與選舉宣傳有關之費用,金錢,桃園市八德區****,0336*****,否,,,,,,,
18,范綱祥,113年立法委員選舉,首次申報,1120526,宣傳支出,福康科技企業社,82029808,0.00,250.00,,,,製作競選物品或宣傳廣告費用,金錢,桃園市桃園區****,,否,,,,,,,
19,范綱祥,113年立法委員選舉,首次申報,1120602,雜支支出,灶腳小館,17475830,0.00,5240.00,,,,餐飲費用,金錢,桃園市桃園區****,,否,,,,,,,
20,范綱祥,113年立法委員選舉,首次申報,1120602,雜支支出,十豆刻印社,98145748,0.00,1300.00,,,,文具用品費用,金錢,桃園市桃園區****,,否,,,,,,,
21,范綱祥,113年立法委員選舉,首次申報,1120607,宣傳支出,福康科技企業社,82029808,0.00,400.00,,,,製作競選物品或宣傳廣告費用,金錢,桃園市桃園區****,,否,,,,,,,
22,范綱祥,113年立法委員選舉,首次申報,1120610,公共關係費用支出,櫻莉鮮花店,41041808,0.00,3000.00,,,,聯誼交際費用,金錢,桃園市桃園區****,,否,,,,,,,
23,范綱祥,113年立法委員選舉,首次申報,1120616,宣傳支出,郵局,,0.00,2208.00,,,,郵寄競選物品或宣傳廣告費用,金錢,桃園市桃園區****,0333*****,否,,,,,,,
24,范綱祥,113年立法委員選舉,首次申報,1120616,宣傳支出,福康科技企業社,82029808,0.00,600.00,,,,製作競選物品或宣傳廣告費用,金錢,桃園市桃園區****,,否,,,,,,,
25,范綱祥,113年立法委員選舉,首次申報,1120626,宣傳支出,三竹資訊,86136982,0.00,5500.00,,,,發送電信簡訊費用,金錢,臺北市中山區****,,否,,,,,,,
26,范綱祥,113年立法委員選舉,首次申報,1120627,雜支支出,全聯福利中心,,0.00,677.00,,,,餐飲費用,金錢,桃園市桃園區****,0333*****,否,,,,,,,
27,范綱祥,113年立法委員選舉,首次申報,1120627,宣傳支出,新美企業社,98242241,0.00,4830.00,,,,其他與選舉宣傳有關之費用,金錢,桃園市八德區****,,否,,,,,,,
28,范綱祥,113年立法委員選舉,首次申報,1120628,宣傳支出,福康科技企業社,82029808,0.00,590.00,,,,製作競選物品或宣傳廣告費用,金錢,桃園市桃園區****,,否,,,,,,,
29,范綱祥,113年立法委員選舉,首次申報,1120705,雜支支出,萊爾富國際股份有限公司,,0.00,237.00,,,,餐飲費用,金錢,桃園市桃園區****,,否,,,,,,,
30,范綱祥,113年立法委員選舉,首次申報,1120710,宣傳支出,福康科技企業社,82029808,0.00,45000.00,,,,製作競選物品或宣傳廣告費用,金錢,桃園市桃園區****,,否,,,,,,,
31,范綱祥,113年立法委員選舉,首次申報,1120711,交通旅運支出,日月亭股份有限公司,85313989,0.00,30.00,,,,停車費,金錢,,,否,,,,,,,
32,范綱祥,113年立法委員選舉,首次申報,1120713,公共關係費用支出,緣圓餐廳,99411357,0.00,3463.00,,,,聯誼交際費用,金錢,桃園市桃園區****,,否,,,,,,,
33,范綱祥,113年立法委員選舉,首次申報,1120715,公共關係費用支出,統領百貨股份有限公司,89402695,0.00,6402.00,,,,聯誼交際費用,金錢,桃園市桃園區****,,否,,,,,,,
