序號,擬參選人／政黨,選舉名稱,申報序號／年度,交易日期,收支科目,捐贈者／支出對象,身分證／統一編號,收入金額,支出金額,支出用途,金錢類,地址,聯絡電話,資料更正日期
1,吳益政,第3屆高雄市市長補選,首次申報,1090624,交通旅運支出,台灣中油,06876181,0.00,1000.00,油資,金錢,高雄市三民區****,,
2,吳益政,第3屆高雄市市長補選,首次申報,1090625,雜支支出,美迪亞漢堡店,06824950,0.00,1110.00,餐飲費用,金錢,高雄市前金區****,288-*****,
3,吳益政,第3屆高雄市市長補選,首次申報,1090625,雜支支出,震宇食品行,85471353,0.00,180.00,餐飲費用,金錢,高雄市前金區****,241-*****,
4,吳益政,第3屆高雄市市長補選,首次申報,1090626,雜支支出,宏達鎖店,06908923,0.00,90.00,雜項購置或修繕費用,金錢,高雄市三民區****,384-*****,
5,吳益政,第3屆高雄市市長補選,首次申報,1090626,雜支支出,陽光大飯店股份有限公司,89260056,0.00,1110.00,餐飲費用,金錢,高雄市苓雅區****,332-*****,
6,吳益政,第3屆高雄市市長補選,首次申報,1090627,雜支支出,全聯福利中心,53651142,0.00,716.00,雜項購置或修繕費用,金錢,高雄市鳳山區****,745-*****,
7,吳益政,第3屆高雄市市長補選,首次申報,1090627,雜支支出,為頤咖啡館,69853799,0.00,452.00,雜項購置或修繕費用,金錢,高雄市鳳山區****,740-*****,
8,吳益政,第3屆高雄市市長補選,首次申報,1090627,交通旅運支出,東港區漁會,91321804,0.00,30.00,停車費,金錢,屏東縣東港鎮****,,
9,吳益政,第3屆高雄市市長補選,首次申報,1090628,雜支支出,五福滷肉小吃部,17111183,0.00,1470.00,餐飲費用,金錢,高雄市苓雅區****,226-*****,
10,吳益政,第3屆高雄市市長補選,首次申報,1090628,集會支出,樂匠音樂企業社,17858251,0.00,13000.00,租用設備支出,金錢,高雄市苓雅區****,703-*****,
11,吳益政,第3屆高雄市市長補選,首次申報,1090628,雜支支出,御之香飯包,36921867,0.00,2100.00,餐飲費用,金錢,高雄市前金區****,285-*****,
12,吳益政,第3屆高雄市市長補選,首次申報,1090628,雜支支出,品品深海魚湯,41284966,0.00,2480.00,餐飲費用,金錢,高雄市前金區****,281-*****,
13,吳益政,第3屆高雄市市長補選,首次申報,1090628,雜支支出,卡瓦商行,69919883,0.00,140.00,餐飲費用,金錢,高雄市前金區****,241-*****,
14,吳益政,第3屆高雄市市長補選,首次申報,1090628,雜支支出,久大文具股份有限公司,76448043,0.00,107.00,文具用品費用,金錢,高雄市新興區****,2711*****,
15,吳益政,第3屆高雄市市長補選,首次申報,1090628,雜支支出,銅享鐵路便當,81177034,0.00,2250.00,餐飲費用,金錢,高雄市前金區****,285-*****,
